temperature,pressure,x_R125,x_hmimFAP
298.15,50000,0.038,0.962
298.15,100000,0.074,0.926
298.15,200000,0.142,0.858
298.15,400000,0.267,0.733
298.15,600000,0.38,0.62
298.15,800000,0.482,0.518
298.15,1000000,0.578,0.422
