temperature,pressure,x_R125,x_bmimSCN
298.15,50000,0.001,0.999
298.15,100000,0.004,0.996
298.15,200000,0.013,0.987
298.15,400000,0.031,0.969
298.15,600000,0.053,0.947
298.15,800000,0.077,0.923
298.15,1000000,0.105,0.895
