"fs.properties.PR_kappa_A[""R32"", ""emimTf2N""]","fs.properties.PR_kappa_A[""emimTf2N"", ""R32""]","fs.properties.PR_kappa_B[""R32"",""emimTf2N""]"
15435644829.59879,-1580120298.8528204,25699905235.695984
-1580120298.8528204,161754185.61451983,-2630854906.9260116
25699905235.695984,-2630854906.9260116,42789603959.87042
