,0
0,2.858565268
1,2.741653952
3,2.770304642
4,2.943406312
6,2.714153598
7,2.707347741
8,2.946740658
11,2.787729894
12,2.78208091
14,2.931624757
15,2.738439193
16,2.745680945
17,2.723666464
20,2.703724022
21,2.882917314
22,2.736973263
23,2.726902862
24,2.760563396
25,2.731539524
28,2.729237911
29,2.809736399
32,2.76463456
33,2.717291911
35,2.717602172
36,2.73846644
38,2.700507802
39,2.842834276
40,2.721015576
41,2.749417973
43,2.741219695
44,2.735983685
45,2.71398629
47,2.716994187
49,2.744526131
50,2.742730236
52,2.737808349
53,2.743035945
54,2.712549275
56,2.740212263
57,2.699871461
58,2.70907388
60,2.698799941
61,2.742816658
62,2.735532978
63,2.793476509
64,2.7343133
65,2.715229734
66,2.701488971
68,2.729562762
69,2.782179253
70,2.747615124
71,2.708250182
72,2.9393151
73,2.75081426
75,2.790630417
78,2.727136716
79,2.937942571
80,2.762096971
81,2.711071343
83,2.723535618
85,2.77505066
86,2.727644618
87,2.708658049
88,2.729163329
90,2.75182504
93,2.727392585
94,2.746790052
95,2.721842848
96,2.738805887
97,2.751097192
