,0
0,1.4181376957271807
1,1.4338073266568991
2,1.4302371952718416
3,1.4450154495469865
4,1.4562897192221287
5,1.4529677742945275
6,1.450357058514464
7,1.4563596142018127
8,1.4254096090049264
9,1.4454417988603472
10,1.4573915844376093
11,1.4623942654548294
12,1.4475903732796893
13,1.4452281504931361
14,1.4338575203744828
15,1.4456594168219754
16,1.4541713845579987
17,1.4533311274016243
18,1.403996266247437
19,1.4450279349394726
20,1.4391622719412738
21,1.453450389786206
22,1.4428734657602484
23,1.4492899305595561
24,1.4572832005458969
25,1.451796082501026
26,1.4433483055645262
27,1.4445746594600724
28,1.4549498546455046
29,1.437769405936563
30,1.4451083314137274
31,1.457783033721616
32,1.4577824812371591
33,1.4572360882109598
34,1.4582228696559492
35,1.4463190237892245
36,1.4533463321878957
37,1.4577583860524834
38,1.4329504070699932
39,1.4333846945545416
40,1.4201820045725597
41,1.4555569102006711
42,1.4518064543043718
43,1.4563108306278294
44,1.4542636288435835
45,1.4576124785433953
46,1.4519554014044889
47,1.4540450280020745
48,1.4476619522550047
49,1.4409551770991027
50,1.4566611870993278
51,1.456079261224506
52,1.455994008489112
53,1.4549883277307256
54,1.442372879271948
55,1.4546903373003142
56,1.4531532893765033
57,1.4449017831564823
58,1.4492953681605656
59,1.4571693187133372
60,1.4445928997854263
61,1.4539080154675006
62,1.4339516262964713
63,1.4445615131127902
64,1.4402324956423376
65,1.4496015299642089
66,1.4446078349816198
67,1.421634331530667
68,1.414659090157677
69,1.4558416666026894
70,1.4496246431131257
71,1.4332397557621719
72,1.4389271870287952
73,1.4546070620007638
74,1.4482410086047444
75,1.4571144431169594
76,1.4333717758473283
77,1.4518747521314754
78,1.4573275898512013
79,1.4516215896270188
80,1.4526036705826413
81,1.4546789788553387
82,1.459975765709395
83,1.4560545639020124
84,1.4525734001559705
85,1.4452089202307796
86,1.4532483376219532
87,1.4551329830040376
88,1.4428679591704008
89,1.4537203917169805
90,1.4529293312568652
91,1.44758022092216
92,1.448809891130884
93,1.4513162272665603
94,1.453991052486822
95,1.434878959528411
96,1.438024570453131
97,1.4526633911127225
98,1.4442259508162478
99,1.4323043356839755
