temperature,pressure,x_R125,x_bmimAc
298.15,50000,0.06,0.94
298.15,100000,0.122,0.878
298.15,200000,0.24,0.76
298.15,400000,0.429,0.571
298.15,600000,0.536,0.464
298.15,800000,0.62,0.38
298.15,1000000,0.692,0.308
