temperature,pressure,x_R32,x_hmimCl
298.15,50000,0.021,0.979
298.15,100000,0.044,0.956
298.15,200000,0.092,0.908
298.15,400000,0.186,0.814
298.15,600000,0.272,0.728
298.15,800000,0.345,0.655
298.15,1000000,0.41,0.59
