,Unnamed: 0,sc_param1,sc_param2,sc_param3,"SRK_kappa_A[emimTf2N,R125]","SRK_kappa_A[R125,emimTf2N]","SRK_kappa_B[emimTf2N,R125]",SSR
0,0,-0.0224847201019162,-0.0047972600387188,0.1337523052638431,,,,
1,1,-0.0224847201019162,-0.0047972600387188,0.6494371679597566,,,,
2,2,-0.0224847201019162,-0.0047972600387188,-0.9009914701585078,,,,
3,3,-0.0224847201019162,-0.0047972600387188,0.4862271746439195,0.004966667971808893,1.0292232082245238,-0.36051292603043955,12.540787687925679
4,4,-0.0224847201019162,-0.0047972600387188,0.3207198616255133,,,,
5,5,-0.0224847201019162,-0.0047972600387188,0.7437909563389555,,,,
6,6,-0.0224847201019162,-0.0047972600387188,-0.3107063337963446,,,,
7,7,-0.0224847201019162,-0.0047972600387188,0.0046334904920841,-0.02970463303948975,0.08236176758853749,-0.1442243775353704,0.12910525592893077
8,8,-0.0224847201019162,-0.0047972600387188,-0.0995663082772518,,,,
9,9,-0.0224847201019162,-0.0047972600387188,-0.6246237883252411,,,,
10,10,-0.0224847201019162,-0.0047972600387188,0.6601779145661164,,,,
11,11,-0.0224847201019162,-0.0047972600387188,-0.9117590535330772,,,,
12,12,-0.0224847201019162,-0.0047972600387188,0.0325487154129473,-0.029704632921015644,0.08236174907433116,-0.14422435784631094,0.12910525592448585
13,13,-0.0224847201019162,-0.0047972600387188,-0.5105490712809628,,,,
14,14,-0.0224847201019162,-0.0047972600387188,0.8062272111689504,,,,
15,15,-0.0224847201019162,-0.0047972600387188,0.0777098533793996,-0.014943127183853275,-1.4252702572619862,1.544367616085052,1.3069226231437432
16,16,-0.0224847201019162,-0.0047972600387188,-0.7673140829028134,,,,
17,17,-0.0224847201019162,-0.0047972600387188,0.7105770859655001,,,,
18,18,-0.0224847201019162,-0.0047972600387188,-0.9224276102999552,,,,
19,19,-0.0224847201019162,-0.0047972600387188,-0.6994621492366612,,,,
20,20,-0.0224847201019162,-0.0047972600387188,-0.5442135315061369,,,,
21,21,-0.0224847201019162,-0.0047972600387188,0.5449510083317579,,,,
22,22,-0.0224847201019162,-0.0047972600387188,-0.2610146680698629,,,,
23,23,-0.0224847201019162,-0.0047972600387188,-0.9676223794841812,,,,
24,24,-0.0224847201019162,-0.0047972600387188,0.621216868003569,,,,
25,25,-0.0224847201019162,-0.0047972600387188,-0.2570299405145847,,,,
26,26,-0.0224847201019162,-0.0047972600387188,0.5551414916376542,,,,
27,27,-0.0224847201019162,-0.0047972600387188,0.7545993672256932,,,,
28,28,-0.0224847201019162,-0.0047972600387188,0.3325954234647084,,,,
29,29,-0.0224847201019162,-0.0047972600387188,0.1102744430017887,,,,
30,30,-0.0224847201019162,-0.0047972600387188,0.7888854661308373,,,,
31,31,-0.0224847201019162,-0.0047972600387188,-0.7610855356682756,,,,
32,32,-0.0224847201019162,-0.0047972600387188,-0.7997965906038966,,,,
33,33,-0.0224847201019162,-0.0047972600387188,-0.93421368994843,,,,
34,34,-0.0224847201019162,-0.0047972600387188,-0.3334072944617358,,,,
35,35,-0.0224847201019162,-0.0047972600387188,-0.6433067083042954,,,,
36,36,-0.0224847201019162,-0.0047972600387188,0.9876592643468468,,,,
37,37,-0.0224847201019162,-0.0047972600387188,-0.1707390896365545,,,,
38,38,-0.0224847201019162,-0.0047972600387188,0.4587530752455546,-0.015793217557601453,-1.2900386916110267,1.3962027001922317,3.1409961984310555
39,39,-0.0224847201019162,-0.0047972600387188,0.3669903455146723,-0.008345812283891743,-2.490327688785703,2.741230710016927,4.0711754342267605
40,40,-0.0224847201019162,-0.0047972600387188,0.5235393796997572,,,,
41,41,-0.0224847201019162,-0.0047972600387188,0.826733246085807,,,,
42,42,-0.0224847201019162,-0.0047972600387188,-0.3501011032772994,,,,
43,43,-0.0224847201019162,-0.0047972600387188,-0.5673755277605946,,,,
44,44,-0.0224847201019162,-0.0047972600387188,-0.8378697585879167,,,,
45,45,-0.0224847201019162,-0.0047972600387188,0.1653640250343919,,,,
46,46,-0.0224847201019162,-0.0047972600387188,0.087596802791005,,,,
47,47,-0.0224847201019162,-0.0047972600387188,0.2800912542444298,,,,
48,48,-0.0224847201019162,-0.0047972600387188,0.2178602511293332,,,,
49,49,-0.0224847201019162,-0.0047972600387188,-0.1107784576221422,,,,
50,50,-0.0224847201019162,-0.0047972600387188,-0.6632577660660575,,,,
51,51,-0.0224847201019162,-0.0047972600387188,0.5035759627830709,,,,
52,52,-0.0224847201019162,-0.0047972600387188,0.940924397061079,,,,
53,53,-0.0224847201019162,-0.0047972600387188,-0.696978617431351,,,,
54,54,-0.0224847201019162,-0.0047972600387188,0.6148079236213999,,,,
55,55,-0.0224847201019162,-0.0047972600387188,0.7701882705230949,,,,
56,56,-0.0224847201019162,-0.0047972600387188,-0.8441152479491307,,,,
57,57,-0.0224847201019162,-0.0047972600387188,-0.0606828476768244,-0.029704633039307583,0.08236176757352529,-0.14422437751868766,0.1291052559483176
58,58,-0.0224847201019162,-0.0047972600387188,0.4457463265222798,-0.010432416163002157,-1.633315250849297,1.8718975180839763,2.1369625376677095
59,59,-0.0224847201019162,-0.0047972600387188,0.4293528286523747,-0.008542224138252785,-2.7668189846560938,3.009120342268464,3.188408453584258
60,60,-0.0224847201019162,-0.0047972600387188,0.6010363489205064,,,,
61,61,-0.0224847201019162,-0.0047972600387188,0.0631306544860186,-0.02836480086707573,-0.12633802472258404,0.07911110025705721,0.1388685811161844
62,62,-0.0224847201019162,-0.0047972600387188,0.1377623343077312,,,,
