,Unnamed: 0,sc_param1,sc_param2,sc_param3,"PR_kappa_A[emimTf2N,R125]","PR_kappa_A[R125,emimTf2N]","PR_kappa_B[emimTf2N,R125]",SSR
0,0,-0.0056789448304904,-0.0024990880062536,0.1337523052638431,0.006155451952568973,-0.12972230414941732,0.4571195177400457,3.1215082376898016
1,1,-0.0056789448304904,-0.0024990880062536,0.6494371679597566,,,,
2,2,-0.0056789448304904,-0.0024990880062536,-0.9009914701585078,,,,
3,3,-0.0056789448304904,-0.0024990880062536,0.4862271746439195,0.009006569363887261,-4.083736594405891,4.45092595296364,8.87806257923943
4,4,-0.0056789448304904,-0.0024990880062536,0.3207198616255133,,,,
5,5,-0.0056789448304904,-0.0024990880062536,0.7437909563389555,,,,
6,6,-0.0056789448304904,-0.0024990880062536,-0.3107063337963446,,,,
7,7,-0.0056789448304904,-0.0024990880062536,0.0046334904920841,-0.01753636831859647,0.22942955701508505,-0.28162998802025285,0.1695525385479569
8,8,-0.0056789448304904,-0.0024990880062536,-0.0995663082772518,-0.017536368259120607,0.22942954986177083,-0.28162998033058123,0.16955253854756847
9,9,-0.0056789448304904,-0.0024990880062536,-0.6246237883252411,,,,
10,10,-0.0056789448304904,-0.0024990880062536,0.6601779145661164,,,,
11,11,-0.0056789448304904,-0.0024990880062536,-0.9117590535330772,,,,
12,12,-0.0056789448304904,-0.0024990880062536,0.0325487154129473,-0.017536368318596954,0.2294295570150193,-0.2816299880201963,0.16955253854780175
13,13,-0.0056789448304904,-0.0024990880062536,-0.5105490712809628,,,,
14,14,-0.0056789448304904,-0.0024990880062536,0.8062272111689504,,,,
15,15,-0.0056789448304904,-0.0024990880062536,0.0777098533793996,-0.003277210703477451,-1.2265641866826167,1.348154484563656,1.257545019091382
16,16,-0.0056789448304904,-0.0024990880062536,-0.7673140829028134,,,,
17,17,-0.0056789448304904,-0.0024990880062536,0.7105770859655001,,,,
18,18,-0.0056789448304904,-0.0024990880062536,-0.9224276102999552,,,,
19,19,-0.0056789448304904,-0.0024990880062536,-0.6994621492366612,,,,
20,20,-0.0056789448304904,-0.0024990880062536,-0.5442135315061369,,,,
21,21,-0.0056789448304904,-0.0024990880062536,0.5449510083317579,,,,
22,22,-0.0056789448304904,-0.0024990880062536,-0.2610146680698629,,,,
23,23,-0.0056789448304904,-0.0024990880062536,-0.9676223794841812,,,,
24,24,-0.0056789448304904,-0.0024990880062536,0.621216868003569,,,,
25,25,-0.0056789448304904,-0.0024990880062536,-0.2570299405145847,,,,
26,26,-0.0056789448304904,-0.0024990880062536,0.5551414916376542,,,,
27,27,-0.0056789448304904,-0.0024990880062536,0.7545993672256932,,,,
28,28,-0.0056789448304904,-0.0024990880062536,0.3325954234647084,0.004865431679861904,-2.5542944498093116,2.840765225921326,4.925178849817616
29,29,-0.0056789448304904,-0.0024990880062536,0.1102744430017887,0.007955363080026541,0.08150922163873521,0.2532317809180994,4.869491108407399
30,30,-0.0056789448304904,-0.0024990880062536,0.7888854661308373,,,,
31,31,-0.0056789448304904,-0.0024990880062536,-0.7610855356682756,,,,
32,32,-0.0056789448304904,-0.0024990880062536,-0.7997965906038966,,,,
33,33,-0.0056789448304904,-0.0024990880062536,-0.93421368994843,,,,
34,34,-0.0056789448304904,-0.0024990880062536,-0.3334072944617358,,,,
35,35,-0.0056789448304904,-0.0024990880062536,-0.6433067083042954,,,,
36,36,-0.0056789448304904,-0.0024990880062536,0.9876592643468468,,,,
37,37,-0.0056789448304904,-0.0024990880062536,-0.1707390896365545,,,,
38,38,-0.0056789448304904,-0.0024990880062536,0.4587530752455546,0.005557319989637363,-3.966181591311849,4.312532470668586,8.299760108171215
39,39,-0.0056789448304904,-0.0024990880062536,0.3669903455146723,0.0048113863001550145,-2.4027563772783216,2.6726900517970233,4.991806773862283
40,40,-0.0056789448304904,-0.0024990880062536,0.5235393796997572,,,,
41,41,-0.0056789448304904,-0.0024990880062536,0.826733246085807,,,,
