,Unnamed: 0,sc_param1,sc_param2,"SRK_kappa_A[emimTf2N,R125]","SRK_kappa_A[R125,emimTf2N]",SSR
0,0,0.1826436404807749,-0.0047972600387188,,,
1,1,-0.8200628563804049,-0.0047972600387188,,,
2,2,-0.2372804945720426,-0.0047972600387188,,,
3,3,-0.8978902592179285,-0.0047972600387188,,,
4,4,-0.2073743124419393,-0.0047972600387188,,,
5,5,0.2952871658749003,-0.0047972600387188,,,
6,6,0.1675314986636453,-0.0047972600387188,,,
7,7,0.9677314528261812,-0.0047972600387188,,,
8,8,-0.1452782452277657,-0.0047972600387188,,,
9,9,0.5711682319268432,-0.0047972600387188,,,
10,10,0.1346086220375786,-0.0047972600387188,,,
11,11,-0.9324533159444156,-0.0047972600387188,,,
12,12,0.0286269485895884,-0.0047972600387188,,,
13,13,-0.1955794415716526,-0.0047972600387188,,,
14,14,-0.5106428852894029,-0.0047972600387188,,,
15,15,-0.4801646840956616,-0.0047972600387188,,,
16,16,-0.1573380788530124,-0.0047972600387188,,,
17,17,0.8709643046028754,-0.0047972600387188,,,
18,18,-0.3304383422407613,-0.0047972600387188,,,
19,19,-0.4043745108927833,-0.0047972600387188,,,
20,20,-0.2468074675249693,-0.0047972600387188,,,
21,21,-0.0112891361726188,-0.0047972600387188,-0.05286498439722229,-0.028872274359931286,0.13315826434141972
22,22,0.6094762846067947,-0.0047972600387188,,,
23,23,-0.4590071019692154,-0.0047972600387188,,,
24,24,-0.9200141213842176,-0.0047972600387188,,,
25,25,-0.3654645376126233,-0.0047972600387188,,,
26,26,-0.3750361919080197,-0.0047972600387188,,,
27,27,0.6503786371604809,-0.0047972600387188,,,
28,28,-0.7069520873646791,-0.0047972600387188,,,
29,29,0.6130259913280531,-0.0047972600387188,,,
30,30,0.7253672510593299,-0.0047972600387188,,,
31,31,0.1164714725014024,-0.0047972600387188,,,
32,32,-0.9360558422519945,-0.0047972600387188,,,
33,33,0.0101441752943829,-0.0047972600387188,-0.05286498439709284,-0.028872274359913536,0.13315826434462852
34,34,0.4228371939537376,-0.0047972600387188,,,
35,35,0.3736858547200674,-0.0047972600387188,,,
36,36,0.807818059028732,-0.0047972600387188,,,
37,37,0.3940430316265231,-0.0047972600387188,,,
38,38,0.9042026113937456,-0.0047972600387188,,,
39,39,-0.9762713365668348,-0.0047972600387188,,,
40,40,0.6343566873026971,-0.0047972600387188,,,
41,41,-0.8878691434863782,-0.0047972600387188,,,
42,42,0.038225410100072,-0.0047972600387188,,,
43,43,0.2880446364263149,-0.0047972600387188,,,
44,44,0.4903301094022205,-0.0047972600387188,,,
45,45,-0.4157120063978259,-0.0047972600387188,,,
46,46,0.2234164852541855,-0.0047972600387188,,,
47,47,0.7952512684026667,-0.0047972600387188,,,
48,48,0.2774324158927119,-0.0047972600387188,,,
49,49,0.5794670094857921,-0.0047972600387188,,,
50,50,-0.0224847201019162,-0.0047972600387188,-0.052864984397358775,-0.028872274359949927,0.13315826433796074
51,51,-0.2174181436189336,-0.0047972600387188,,,
52,52,0.7870429429183157,-0.0047972600387188,,,
53,53,0.4003362454811165,-0.0047972600387188,,,
54,54,0.6550536533032274,-0.0047972600387188,,,
55,55,-0.9869574186632416,-0.0047972600387188,,,
56,56,-0.7783410381674671,-0.0047972600387188,,,
57,57,0.1026793215426316,-0.0047972600387188,,,
58,58,0.7167706790307826,-0.0047972600387188,,,
59,59,-0.4369033974691044,-0.0047972600387188,,,
60,60,0.5597439079888449,-0.0047972600387188,,,
61,61,0.2567944758473643,-0.0047972600387188,,,
62,62,0.443846306324575,-0.0047972600387188,,,
63,63,0.8194803178266752,-0.0047972600387188,,,
64,64,0.5229866621717465,-0.0047972600387188,,,
65,65,-0.558185852844846,-0.0047972600387188,,,
66,66,-0.8852250433144515,-0.0047972600387188,,,
67,67,-0.6777070413868457,-0.0047972600387188,,,
68,68,0.440706808411307,-0.0047972600387188,,,
69,69,-0.7444664679099049,-0.0047972600387188,,,
70,70,-0.4959146633778508,-0.0047972600387188,,,
71,71,-0.1156293322620366,-0.0047972600387188,,,
72,72,-0.077685456154686,-0.0047972600387188,,,
73,73,-0.7817036812636626,-0.0047972600387188,,,
74,74,0.0077282848743585,-0.0047972600387188,-0.05286498439711633,-0.028872274359916923,0.13315826434369527
75,75,-0.8051737546568881,-0.0047972600387188,,,
76,76,-0.6643585079610057,-0.0047972600387188,,,
77,77,0.476102661299167,-0.0047972600387188,,,
78,78,-0.2942913009945107,-0.0047972600387188,,,
79,79,-0.3502081913043473,-0.0047972600387188,,,
80,80,0.6229986262227898,-0.0047972600387188,,,
81,81,0.9791255536897204,-0.0047972600387188,,,
82,82,0.9642009592522276,-0.0047972600387188,,,
83,83,0.172450120498512,-0.0047972600387188,,,
84,84,-0.4717809707238249,-0.0047972600387188,,,
85,85,-0.3922940895193687,-0.0047972600387188,,,
86,86,0.3445324487845354,-0.0047972600387188,,,
87,87,0.1589291573694065,-0.0047972600387188,,,
88,88,-0.579576669757365,-0.0047972600387188,,,
89,89,0.9398073924448228,-0.0047972600387188,,,
90,90,-0.284375390705253,-0.0047972600387188,,,
91,91,-0.6892805097486092,-0.0047972600387188,,,
92,92,-0.3105678986611577,-0.0047972600387188,,,
93,93,-0.770643354021928,-0.0047972600387188,,,
94,94,0.5325082213983787,-0.0047972600387188,,,
95,95,0.588772158625728,-0.0047972600387188,,,
96,96,0.1928270570672212,-0.0047972600387188,,,
97,97,-0.8009914106153397,-0.0047972600387188,,,
98,98,-0.5958584167546113,-0.0047972600387188,,,
