,Unnamed: 0,sc_param1,sc_param2,"PR_kappa_A[emimTf2N,R125]","PR_kappa_A[R125,emimTf2N]",SSR
0,0,0.1826436404807749,-0.0024990880062536,,,
1,1,-0.8200628563804049,-0.0024990880062536,,,
2,2,-0.2372804945720426,-0.0024990880062536,,,
3,3,-0.8978902592179285,-0.0024990880062536,,,
4,4,-0.2073743124419393,-0.0024990880062536,,,
5,5,0.2952871658749003,-0.0024990880062536,,,
6,6,0.1675314986636453,-0.0024990880062536,,,
7,7,0.9677314528261812,-0.0024990880062536,,,
8,8,-0.1452782452277657,-0.0024990880062536,,,
9,9,0.5711682319268432,-0.0024990880062536,,,
10,10,0.1346086220375786,-0.0024990880062536,,,
11,11,-0.9324533159444156,-0.0024990880062536,,,
12,12,0.0286269485895884,-0.0024990880062536,,,
13,13,-0.1955794415716526,-0.0024990880062536,,,
14,14,-0.5106428852894029,-0.0024990880062536,,,
15,15,-0.4801646840956616,-0.0024990880062536,,,
16,16,-0.1573380788530124,-0.0024990880062536,0.012349174834544034,0.0028847926325066154,6.59870750599182
17,17,0.8709643046028754,-0.0024990880062536,,,
18,18,-0.3304383422407613,-0.0024990880062536,,,
19,19,-0.4043745108927833,-0.0024990880062536,,,
20,20,-0.2468074675249693,-0.0024990880062536,,,
21,21,-0.0112891361726188,-0.0024990880062536,-0.0347317880955712,-0.015915074552487897,0.18614465563820767
22,22,0.6094762846067947,-0.0024990880062536,,,
23,23,-0.4590071019692154,-0.0024990880062536,,,
24,24,-0.9200141213842176,-0.0024990880062536,,,
25,25,-0.3654645376126233,-0.0024990880062536,,,
26,26,-0.3750361919080197,-0.0024990880062536,,,
27,27,0.6503786371604809,-0.0024990880062536,,,
28,28,-0.7069520873646791,-0.0024990880062536,,,
29,29,0.6130259913280531,-0.0024990880062536,,,
30,30,0.7253672510593299,-0.0024990880062536,,,
31,31,0.1164714725014024,-0.0024990880062536,,,
32,32,-0.9360558422519945,-0.0024990880062536,,,
33,33,0.0101441752943829,-0.0024990880062536,-0.034731788095596995,-0.015915074552491755,0.18614465563722687
34,34,0.4228371939537376,-0.0024990880062536,,,
35,35,0.3736858547200674,-0.0024990880062536,,,
36,36,0.807818059028732,-0.0024990880062536,,,
37,37,0.3940430316265231,-0.0024990880062536,,,
38,38,0.9042026113937456,-0.0024990880062536,,,
39,39,-0.9762713365668348,-0.0024990880062536,,,
40,40,0.6343566873026971,-0.0024990880062536,,,
41,41,-0.8878691434863782,-0.0024990880062536,,,
42,42,0.038225410100072,-0.0024990880062536,,,
43,43,0.2880446364263149,-0.0024990880062536,,,
44,44,0.4903301094022205,-0.0024990880062536,,,
45,45,-0.4157120063978259,-0.0024990880062536,,,
46,46,0.2234164852541855,-0.0024990880062536,,,
47,47,0.7952512684026667,-0.0024990880062536,,,
