,P1,x1
0,0.9958201135387046,0.6920000000000001
1,0.8622962349278965,0.6468571428571428
2,0.7450176491414859,0.6017142857142858
3,0.6423126224539206,0.5565714285714286
4,0.552223780696273,0.5114285714285715
5,0.47288364838179625,0.46628571428571425
6,0.40264306558566904,0.4211428571428574
7,0.3400960012583064,0.37600000000000017
8,0.28406359703576917,0.330857142857143
9,0.23356477320756053,0.28571428571428575
10,0.18778494542144705,0.24057142857142874
11,0.1460473628741023,0.19542857142773618
12,0.10778847632159903,0.1502857142856895
13,0.07253742648062833,0.10514285714285719
14,0.0,0.0
