,Unnamed: 0,sc_param1,sc_param2,sc_param3,sc_param4,sc_param5,sc_param6,sc_param7,sc_param8,"SRK_kappa_A[emimTf2N,R32]","SRK_kappa_A[R32,emimTf2N]","SRK_kappa_B[emimTf2N,R32]","SRK_kappa_B[R32,emimTf2N]","SRK_kappa_C[emimTf2N,R32]","SRK_kappa_C[R32,emimTf2N]","SRK_kappa_D[emimTf2N,R32]","SRK_kappa_D[R32,emimTf2N]",SSR
0,0,0.54461576343933,0.4779987725493149,-0.617226733838746,-0.462823381466091,-1.8376261581127349,-0.0842934704541711,0.4262150404125968,-1.678303796859803,,,,,,,,,
1,1,0.54461576343933,0.4779987725493149,-0.617226733838746,-0.462823381466091,-1.8376261581127349,-0.0842934704541711,0.9829801616779884,1.0487537284602353,,,,,,,,,
2,2,0.54461576343933,0.4779987725493149,-0.617226733838746,-0.462823381466091,-1.8376261581127349,-0.0842934704541711,0.8350850939608394,0.976916483807615,,,,,,,,,
3,3,0.54461576343933,0.4779987725493149,-0.617226733838746,-0.462823381466091,-1.8376261581127349,-0.0842934704541711,-1.7018720315902054,-0.0161909989884745,,,,,,,,,
4,4,0.54461576343933,0.4779987725493149,-0.617226733838746,-0.462823381466091,-1.8376261581127349,-0.0842934704541711,0.797872841214188,0.2420608009160982,,,,,,,,,
5,5,0.54461576343933,0.4779987725493149,-0.617226733838746,-0.462823381466091,-1.8376261581127349,-0.0842934704541711,-0.7694406244464989,0.1231622280236641,,,,,,,,,
6,6,0.54461576343933,0.4779987725493149,-0.617226733838746,-0.462823381466091,-1.8376261581127349,-0.0842934704541711,-0.5775163548159639,0.2640183972802981,,,,,,,,,
7,7,0.54461576343933,0.4779987725493149,-0.617226733838746,-0.462823381466091,-1.8376261581127349,-0.0842934704541711,0.97295340461074,-1.144355737760489,,,,,,,,,
8,8,0.54461576343933,0.4779987725493149,-0.617226733838746,-0.462823381466091,-1.8376261581127349,-0.0842934704541711,-1.5442145632755595,1.1712520930232149,,,,,,,,,
9,9,0.54461576343933,0.4779987725493149,-0.617226733838746,-0.462823381466091,-1.8376261581127349,-0.0842934704541711,-1.0241132284329817,0.7367713897381933,,,,,,,,,
10,10,0.54461576343933,0.4779987725493149,-0.617226733838746,-0.462823381466091,-1.8376261581127349,-0.0842934704541711,-0.1899946663512302,0.8380593839491399,,,,,,,,,
11,11,0.54461576343933,0.4779987725493149,-0.617226733838746,-0.462823381466091,-1.8376261581127349,-0.0842934704541711,0.3779678937463178,-1.4051310601105236,,,,,,,,,
12,12,0.54461576343933,0.4779987725493149,-0.617226733838746,-0.462823381466091,-1.8376261581127349,-0.0842934704541711,-0.7760477506317829,-2.0,,,,,,,,,
13,13,0.54461576343933,0.4779987725493149,-0.617226733838746,-0.462823381466091,-1.8376261581127349,-0.0842934704541711,-0.2135523971892809,0.8676477449669875,,,,,,,,,
14,14,0.54461576343933,0.4779987725493149,-0.617226733838746,-0.462823381466091,-1.8376261581127349,-0.0842934704541711,-0.7102728784220227,1.2341189493281468,,,,,,,,,
15,15,0.54461576343933,0.4779987725493149,-0.617226733838746,-0.462823381466091,-1.8376261581127349,-0.0842934704541711,1.762532555761326,-0.0309272891868657,,,,,,,,,
16,16,0.54461576343933,0.4779987725493149,-0.617226733838746,-0.462823381466091,-1.8376261581127349,-0.0842934704541711,0.7197779653025571,-1.7648355651012857,,,,,,,,,
17,17,0.54461576343933,0.4779987725493149,-0.617226733838746,-0.462823381466091,-1.8376261581127349,-0.0842934704541711,-1.245931403041011,-0.8013989923111244,,,,,,,,,
18,18,0.54461576343933,0.4779987725493149,-0.617226733838746,-0.462823381466091,-1.8376261581127349,-0.0842934704541711,0.6643889886555869,1.791978382830716,,,,,,,,,
