,R32_x,"P, MPa"
0,0.026000000002859867,0.022655551296755942
1,0.10599999999700775,0.09385444128379748
2,0.27099999999606544,0.2488981570353639
3,0.42799999997849175,0.4094264618964884
4,0.5579999999734148,0.5552219082604037
5,0.6499999999571758,0.6674690082122517
6,0.8149999999605512,0.8903486481050616
7,0.018000000000000033,0.023381152220838107
8,0.07600000000295269,0.10027630504475292
9,0.18999999999896025,0.2576925537043421
10,0.29699999999444276,0.4144127292520153
11,0.3899999999847298,0.5576502887384356
12,0.47499999996782516,0.6977681172578368
13,0.5519999999742315,0.8349175502127737
14,0.6279999999613859,0.9745657512740405
15,0.006000000000269564,0.013637518870290662
16,0.04700000000399303,0.10871277157146346
17,0.11299999999798659,0.26637497489123474
18,0.1739999999998316,0.4177952115669891
19,0.23099999999329598,0.5647763317998122
20,0.28499999999501063,0.7094395151037453
21,0.33499999999107044,0.8503921798361729
22,0.3819999999856154,0.9865132437186103
23,0.0030000000000000066,0.010919422841466535
24,0.02900000000245074,0.10646445546852208
25,0.07000000000308815,0.26055849525240554
26,0.10899999999779246,0.41127225882770857
27,0.14600000000010713,0.5572982979606538
28,0.1819999999992476,0.7040476647686779
29,0.21399999999593566,0.8394723598721029
30,0.24799999998871186,0.9859785419048123
