,R32_x,"P, MPa"
0,0.026000000002859316,0.017499303870363615
1,0.10599999999698344,0.07251650228045213
2,0.27099999998389407,0.19269977500635854
3,0.4279999999786949,0.31856670005059085
4,0.5579999999999958,0.4357516835192699
5,0.649999999999891,0.5295766075838166
6,0.8149999999231811,0.7375523874402852
7,0.018000000001414686,0.018900224954125456
8,0.07600000000295103,0.08103297479105899
9,0.18999999999895906,0.2080559766802895
10,0.2969999999943373,0.3345074219362906
11,0.3899999999847644,0.4502765646846573
12,0.4749999999679935,0.5643165416169474
13,0.5519999999999873,0.6773154503291832
14,0.6279999999995021,0.7944014626666441
15,0.006000000000269715,0.011733351776081712
16,0.047000000004020485,0.0934974439256134
17,0.1129999999979793,0.2286903795388799
18,0.1739999999998727,0.35809048266926086
19,0.23099999999311424,0.48330043755096946
20,0.28499999999498987,0.606178635916011
21,0.3349999999910283,0.7257544634441344
22,0.3819999999855388,0.8408564539197709
23,0.0030000000000887607,0.009879530199583488
24,0.029000000002439706,0.09624256276084993
25,0.07000000000306496,0.23520430707816822
26,0.10899999999774086,0.3707209088165429
27,0.1460000000001107,0.5015466078984356
28,0.18199999999922867,0.6326944846456043
29,0.2139999999956144,0.7535022235572707
30,0.24799999998862554,0.8836756372715867
