,R32_x,"P, MPa"
0,0.026000000004927384,0.02635736270983305
1,0.10599999999714735,0.1076503927779239
2,0.2709999999957507,0.2752586888187681
3,0.4279999999763641,0.4321322270869218
4,0.5579999999700016,0.557197519572461
5,0.649999999948588,0.6416824097420311
6,0.8149999999420212,0.788491965297116
7,0.018000000000000026,0.027460255347524495
8,0.07600000000290576,0.11555819540561889
9,0.1899999999985694,0.2843125148312685
10,0.29699999999363197,0.4349703372878265
11,0.3899999999820811,0.5558591035762266
12,0.47499999996033093,0.6578080785993712
13,0.552,0.9875872716847697
14,0.6280000000000001,0.9978431697380574
15,0.0060000000000000045,0.01626099034531695
16,0.047000000003919906,0.1269094504848191
17,0.11299999999835433,0.2994026653901873
18,0.1739999999995035,0.4514094182317106
19,0.2309999999908571,0.5855025739247949
20,0.28499999999392156,0.7040970915676841
21,0.3349999999888091,0.8069085127698773
22,0.3819999999812972,0.8939025777051856
23,0.0029999999999999034,0.013133872924557985
24,0.02900000000460802,0.1258624803739633
25,0.07000000000293885,0.29918968821433894
26,0.10899999999826951,0.458261475259097
27,0.14600000000018942,0.6021540164244583
28,0.18199999999838903,0.7365100387474725
29,0.21399999999366562,0.8513953279241618
30,0.2479999999840146,0.9654643271769576
