,R125_x,"P, MPa"
0,0.008000000000000092,0.009225877125624497
1,0.08499999999999994,0.09914249989010081
2,0.16800000000007603,0.19818725698830197
3,0.25000000000000006,0.2978760452842584
4,0.33099999999999985,0.3975624032807383
5,0.413,0.4987068430048092
6,0.4959999999999999,0.5996092985450722
7,0.5830000000000001,0.7006918226377439
8,0.681,0.8022513174179017
9,0.006000000000000006,0.010693546097369774
10,0.05500000000000011,0.09893506366768447
11,0.10899999999999992,0.19802417703261949
12,0.16100000000018141,0.29520705783334317
13,0.21299999999629537,0.3951042682242162
14,0.2669999999999999,0.4995184126143798
15,0.3169999999999999,0.5973130827849457
16,0.4220000000000001,0.8020182840426973
17,0.521,0.9937981712543423
18,0.0040000000000000886,0.013117382689631401
19,0.03000000000000002,0.09909879438888816
20,0.05899999999999992,0.1964832500998619
21,0.08799999999999997,0.29546045504508794
22,0.11699999999999991,0.3960582930705624
23,0.15200000000000002,0.519662077482422
24,0.1759999999999999,0.6058214422954462
25,0.22799999999999992,0.7964486617587214
26,0.28499999999999986,1.0116017781041455
27,0.003999999999999976,0.02150582936625911
28,0.01799999999999991,0.0972952625060852
29,0.033999999999999905,0.18491603405715804
30,0.05000000000000008,0.2736350755596804
31,0.07399999999999997,0.4088373869175235
32,0.09699999999999989,0.5408844368258723
33,0.10499999999999983,0.5874007590498166
34,0.1400000000000001,0.7960845776585196
35,0.17099999999999999,0.9834282877057478
