,R125_x,"P, MPa"
0,0.007999999999999906,0.009411762706171832
1,0.08500000000000003,0.10091387965047437
2,0.1680000000000676,0.20118509500718537
3,0.24999999999999997,0.3014791708555224
4,0.331,0.40104541442716607
5,0.41300000000000014,0.5012131516003867
6,0.496,0.6001486050569194
7,0.5830000000000001,0.6981096134547329
8,0.681,0.7952248778581511
9,0.00600000000000003,0.010807508391174461
10,0.05500000000000004,0.09994134606731403
11,0.10899999999999997,0.1999232190008117
12,0.16100000000018033,0.2978576637028282
13,0.21299999999627023,0.3983756507676468
14,0.26699999999999996,0.5032797671912344
15,0.31699999999999995,0.6013575357573165
16,0.422,0.8059868854630349
17,0.521,0.9966873278439313
18,0.004000000000000163,0.01309090924918229
19,0.029999999999999926,0.09893252724053979
20,0.059000000000000045,0.19623177397277453
21,0.08799999999999998,0.2952059920026963
22,0.11699999999999985,0.39589181998978623
23,0.15199999999999994,0.5197368579803296
24,0.17600000000000007,0.6061562707834697
25,0.228,0.797648003260201
26,0.28500000000000003,1.0143036986713454
27,0.003999999999999915,0.021257374483442584
28,0.018000000000000103,0.09620864356493498
29,0.03400000000000008,0.18293453820465827
30,0.0500000000000001,0.27083081580955326
31,0.07399999999999993,0.40494632692414617
32,0.09699999999999999,0.5361347302915392
33,0.10499999999999998,0.5823980605727677
34,0.14000000000000004,0.7902515177127152
35,0.171,0.9773896159986306
