,R125_x,"P, MPa"
0,0.007999999999999983,0.006181598924763009
1,0.08499999999999984,0.06690235103007751
2,0.1680000000001028,0.134943063210839
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.5830000000000001,0.5207797547580335
8,0.0,0.0
9,0.006000000000270805,0.007255758149962441
10,0.05499999999999995,0.06734562987722567
11,0.10899999999999992,0.13532314579973614
12,0.16100000000018744,0.2026091374743535
13,0.2129999999964822,0.27253801860839205
14,0.26699999999999624,0.3466270017633722
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.003999999999999979,0.009093907247385185
19,0.030000000000000086,0.0687459093865019
20,0.05899999999999995,0.1363969341076078
21,0.088,0.20526286272353103
22,0.11699999999999987,0.2753826498168535
23,0.15200000000000002,0.36173565538414754
24,0.17600000000000005,0.4220733348806721
25,0.22799999999999984,0.5560571682774755
26,0.28500000000000003,0.7082381503301131
27,0.003999999999999873,0.015236275670716037
28,0.01800000000000003,0.06891922456917918
29,0.03399999999999997,0.13095576084223245
30,0.04999999999999997,0.19373956823675192
31,0.07399999999999997,0.28935572924084163
32,0.09699999999999993,0.38266158630385183
33,0.10499999999999984,0.41551048692408404
34,0.14000000000000004,0.5627754669196597
35,0.171,0.6946812406932298
