,R125_x,"P, MPa"
0,0.008000000000000045,0.00997644892910674
1,0.08499999999999996,0.10929731978359251
2,0.16800000000000004,0.22352952758975
3,0.25000000000000006,0.34437389785869166
4,0.33099999999999985,0.47200216930473243
5,0.413,0.6094508978007331
6,0.49599999999999994,0.7555191274740226
7,0.583,0.9110452301999296
8,0.681,1.0725410852763304
9,0.006000000000271218,0.011394259108326423
10,0.054999999999999924,0.10664687082550858
11,0.10899999999999994,0.21640659449004732
12,0.16100000000019485,0.32722720663990507
13,0.21299999999685176,0.4446623811947172
14,0.26699999999999996,0.5718731694935953
15,0.3169999999999999,0.6955914824668427
16,0.422,0.9720188388126066
17,0.5209999999999999,1.256739765499592
18,0.003999999999999986,0.013700592849798318
19,0.029999999999999975,0.10408695328652211
20,0.059,0.2077322164756459
21,0.08799999999999997,0.3145419665709174
22,0.11699999999999998,0.42472003830931154
23,0.1520000000000001,0.5625003007553696
24,0.1760000000000001,0.6602293156933158
25,0.22799999999999987,0.8819034725810697
26,0.28500000000000003,1.142423014695816
27,0.004000000000000045,0.022120237596419352
28,0.018000000000000058,0.10035004554689772
29,0.0340000000000001,0.19134028023501723
30,0.05000000000000003,0.28409139103271286
31,0.07400000000000002,0.4266936138399702
32,0.09699999999999978,0.5675099760732374
33,0.10500000000000001,0.6174960509173059
34,0.13999999999999999,0.8442338300248459
35,0.17100000000000004,1.0518800643110182
