,P1,x1,P2,x2,P3,x3,P4,x4
0,0.7184976554724354,0.462,0.9760917180929083,0.363,1.0061338952739796,0.15400000000000003,1.0023946140498414,0.08799999999999993
1,0.6888,0.4299285714285713,0.9455964803907068,0.33871428571428575,0.9468980755624306,0.14392857142857132,0.9378807122205587,0.08221428571428564
2,0.659782981049776,0.3978571428571428,0.9090519249838712,0.3144285714285715,0.8864805541549164,0.13385714285714279,0.8731054419241371,0.07642857142857133
3,0.6362593859526043,0.3657857142857143,0.8665887267520413,0.2901428571428571,0.8249474719504749,0.12378571428571436,0.8080855095300268,0.07064285714285708
4,0.6067478869067088,0.33371428571428546,0.818398752379407,0.2658571428571428,0.7623627885889486,0.11371428571428573,0.7428369823863382,0.06485714285714284
5,0.5713380263843592,0.30164285714285705,0.7647238910114463,0.24157142857142863,0.6987882433479834,0.10364285714285715,0.6773753141929416,0.05907142857142854
6,0.5302017899690127,0.2695714285714285,0.7058446809907822,0.2172857142857143,0.6342833373413781,0.09357142857142867,0.6117153693606892,0.05328571428571435
7,0.4835790035338541,0.2375,0.6420694131106497,0.19300000000000003,0.5689053335772255,0.08349999999999994,0.5458714463811762,0.04749999999999998
8,0.43176220031549567,0.20542857142857152,0.5737242028463952,0.16871428571428576,0.5027092718410758,0.07342857142857145,0.47985730023255935,0.04171428571428559
9,0.3750819423807478,0.1733571428571428,0.5011443306376142,0.14442857142857154,0.4357479957426667,0.06335714285714286,0.41368616384228507,0.03592857142857143
10,0.3138933560814708,0.14128571428571415,0.42466698006937365,0.12014285714285705,0.3680721896003243,0.05328571428571429,0.3473707686157942,0.030142857142857082
11,0.24856437140308055,0.10921428571428557,0.3446253731589024,0.09585714285595369,0.2997304231114721,0.04321428571428568,0.280923363996072,0.02435714285714276
12,0.17946589923881298,0.0771428571428624,0.2613442122891953,0.07157142857157368,0.2307692018850899,0.03314285714285725,0.214355735852532,0.018571428571428544
13,0.10696396901951334,0.045071428571428505,0.17513628505353454,0.047285714285509685,0.16123302140560455,0.02307142857142872,0.1476792226480345,0.01278571428571428
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
