,"fs.properties.PR_kappa_A[bmimPF6,R125]","fs.properties.PR_kappa_A[R125,bmimPF6]"
0,0.7140274986046263,0.0695867722376233
1,0.351806011208521,0.05825909584882904
2,0.5180573476237402,0.06919814078340035
3,0.7006849484475263,0.07238074594019665
4,0.6695613707059188,0.07265166355360238
5,0.3618383068847866,0.0560422011849149
6,0.3514795034206047,0.058326231044459415
7,0.3448560379625733,0.059767989411320166
8,0.3544029426619228,0.05766246341208178
9,1.2307429580807892,0.08481514495597409
10,0.6855559971781804,0.07007183812916883
11,0.6974612236830069,0.07317174991468547
12,0.3610575152645851,0.056228594388994524
13,0.3410447728035451,0.06059965917609913
14,0.34610333128916104,0.05948155146483404
15,0.3458935078263407,0.059534238433592325
16,0.7079889919916151,0.07049249262436635
17,0.34724478912091933,0.059263793904184715
18,0.34757994422574373,0.05917929054950826
19,0.3575781051800806,0.056976431240880226
20,0.35051783908363915,0.05851378572412351
21,0.3517269728782681,0.05827684918404994
22,0.6783529856308792,0.071341652396343
23,0.34707304832245095,0.05929136701898568
24,0.34919223729715415,0.05883731921222658
25,0.6813057953151094,0.07077321933669879
26,0.3342437434169358,0.06208797875027867
27,0.3510461050641917,0.058419729639983535
28,0.3582041528976393,0.05685204765525356
29,0.6718124119491276,0.07228064100398175
30,0.35577923255927424,0.057385817386831905
31,0.6742835386316482,0.07201144028318006
32,0.3466986686185982,0.05937115306447258
33,0.6605697050553182,0.07417552835541825
34,0.3513751211052375,0.05834971359334026
35,0.36251348398444216,0.05588440989485283
36,0.3657865686750585,0.05518603327486338
37,0.36137072830996436,0.0561515868512185
38,0.6811368355803388,0.07081113000722301
39,0.35432731179212185,0.057671998334770824
40,0.35727458734510714,0.0570513362703885
41,0.3552180750518806,0.057499360597926805
42,0.3457330921719971,0.05957938160880532
43,0.35812373530226443,0.056846569130397664
44,0.6996444208194658,0.067652247074101
45,0.3379124107541786,0.06128819263023542
46,0.6872312446084723,0.06978555522905544
47,0.6948307043362142,0.07388681962220404
48,1.0593151981574949,0.07983042460143096
49,0.6855529472644498,0.07007142312659272
