,P1,x1,P2,x2,P3,x3,P4,x4
0,0.718497655,0.462,0.976091564,0.363,1.00613387,0.154,1.002394606,0.088
1,0.687324569,0.429928571,0.945596349,0.338714286,0.946898054,0.143928571,0.937880705,0.082214286
2,0.659782981,0.397857143,0.909051818,0.314428571,0.886480536,0.133857143,0.873105436,0.076428571
3,0.636259386,0.365785714,0.86658864,0.290142857,0.824947456,0.123785714,0.808085504,0.070642857
4,0.606747887,0.333714286,0.818398683,0.265857143,0.762362776,0.113714286,0.742836978,0.064857143
5,0.571338026,0.301642857,0.764723836,0.241571429,0.698788233,0.103642857,0.677375311,0.059071429
6,0.53020179,0.269571429,0.705844638,0.217285714,0.634283329,0.093571429,0.611715366,0.053285714
7,0.483579004,0.2375,0.642069381,0.193,0.568905327,0.0835,0.545871444,0.0475
8,0.4317622,0.205428571,0.573724179,0.168714286,0.502709267,0.073428571,0.479857298,0.041714286
9,0.375081942,0.173357143,0.501144313,0.144428571,0.435747992,0.063357143,0.413686162,0.035928571
10,0.313893356,0.141285714,0.424666968,0.120142857,0.368072187,0.053285714,0.347370768,0.030142857
11,0.248564371,0.109214286,0.344625366,0.095857143,0.299730421,0.043214286,0.280923363,0.024357143
12,0.179465899,0.077142857,0.261344208,0.071571429,0.230769201,0.033142857,0.214355735,0.018571429
13,0.106963969,0.045071429,0.175136283,0.047285714,0.161233021,0.023071429,0.147679222,0.012785714
14,0,0,0,0,0,0,0,0
