,"fs.properties.PR_kappa_A[bmimPF6,R32]","fs.properties.PR_kappa_A[R32,bmimPF6]"
0,-0.0780620675406616,-0.026442948308440076
1,-0.144092078320981,-0.02995667283225696
2,-0.1355085602014994,-0.02986201656168079
3,-0.07319838930458464,-0.02656040926299663
4,-0.13290437090391216,-0.02966081848801966
5,-0.053872066085097134,-0.02592159553298606
6,-0.0640808988178546,-0.02525539542811706
7,-0.03175348112045317,-0.026131736498403106
8,-0.12895822454055442,-0.029329791906947275
9,-0.12538367280479867,-0.028682013987635042
10,-0.0364310925726748,-0.024768458395368977
11,-0.057287979624800166,-0.026051576092274067
12,-0.08232164862528538,-0.026138791404861996
13,-0.13531236951344763,-0.029253548049700328
14,-0.059014589825094194,-0.02517894628163031
15,-0.06639388163360836,-0.026693433623444937
16,-0.04780076400709985,-0.02517324632339446
17,-0.1322049247066915,-0.029342376660476864
18,-0.08617684001466243,-0.0270428135970127
19,-0.14735700337879537,-0.03049265327850547
20,-0.1257362948885942,-0.029112301321508192
21,-0.08357175644912918,-0.026178843381532133
22,-0.14048679453985735,-0.029711954459566953
23,-0.04909676433128293,-0.025135260421424402
24,-0.07007241654918939,-0.025786340530260285
25,-0.16599033028229493,-0.030897502861459477
26,-0.07063274216467108,-0.025672306979165248
27,-0.04710478754080467,-0.0234077809506327
28,-0.041907703088518634,-0.025253558038370552
29,-0.06713562161803276,-0.02574074529474725
30,-0.07557568680800453,-0.026078099968047122
31,-0.05997562052962826,-0.026006186152498268
32,-0.06336377373874535,-0.025517496965206495
33,-0.07308459111957005,-0.025590013308003673
34,-0.0668118256873101,-0.025109047726709056
35,-0.036967021431531084,-0.022726111181912426
36,-0.04423188452505845,-0.025212267298242087
37,-0.12756327450653554,-0.029316614840591105
38,-0.07751786073129385,-0.026546367297202663
39,-0.12920499735404004,-0.029290605958258747
40,-0.059545441616459756,-0.026003756824426454
41,-0.07526465081841135,-0.02540112409918693
42,-0.0510587010671457,-0.025085018936186584
43,-0.14986973860430103,-0.03080864730900606
44,-0.1276395531880705,-0.02926911940988019
45,-0.14601032990803833,-0.030668516222933963
46,-0.07123735256132369,-0.026377885380136596
47,-0.13899006225350505,-0.03018688317837672
48,-0.13532401947349523,-0.03009559530697168
49,-0.042624082987319116,-0.02560598665706883
