,IL_x,R32_x,R125_x,IL_y,R32_y,R125_y,IL_x2,R32_x2,R125_x2,IL_y2,R32_y2,R125_y2,IL_x3,R32_x3,R125_x3,IL_y3,R32_y3,R125_y3,IL_x4,R32_x4,R125_x4,IL_y4,R32_y4,R125_y4,IL_x5,R32_x5,R125_x5,IL_y5,R32_y5,R125_y5
0,0.973405084,8.02E-05,0.026514714,1.00E-08,0.001,0.999,0.973247045,7.76E-05,0.026675371,1.00E-08,0.001,0.999,0.972388912,9.66E-05,0.027514515,1.00E-08,0.001,0.999,0.973499179,8.51E-05,0.026415692,1.00E-08,0.001,0.999,0.972130527,8.85E-05,0.027781021,1.00E-08,0.001,0.999
1,0.960233881,0.019956639,0.01980948,1.00E-08,0.25,0.75,0.960791977,0.019297751,0.019910272,1.00E-08,0.25,0.75,0.956252854,0.023645021,0.020102125,1.00E-08,0.25,0.75,0.959149259,0.021150094,0.019700648,1.00E-08,0.25,0.75,0.957411787,0.021932028,0.020656185,1.00E-08,0.25,0.75
2,0.947129655,0.039727584,0.013142761,1.00E-08,0.5,0.5,0.948401499,0.038401534,0.013196967,1.00E-08,0.5,0.5,0.94060917,0.046339306,0.013051524,1.00E-08,0.5,0.5,0.944914164,0.042038495,0.013047341,1.00E-08,0.5,0.5,0.942854438,0.043506644,0.013638917,1.00E-08,0.5,0.5
3,0.934142599,0.059317313,0.006540089,1.00E-08,0.75,0.25,0.936122654,0.057316512,0.006560834,1.00E-08,0.75,0.25,0.925487786,0.068151704,0.00636051,1.00E-08,0.75,0.25,0.930848252,0.062670691,0.006481057,1.00E-08,0.75,0.25,0.928512735,0.064732622,0.006754643,1.00E-08,0.75,0.25
4,0.921782642,0.077956938,0.00026042,1.00E-08,0.99,0.01,0.924437105,0.075301884,0.00026101,1.00E-08,0.99,0.01,0.9114322,0.088319391,0.000248409,1.00E-08,0.99,0.01,0.917500913,0.082241459,0.000257628,1.00E-08,0.99,0.01,0.914942817,0.084789445,0.000267738,1.00E-08,0.99,0.01
