,R32_x,"P, MPa","T, K"
0,0.02600000000494427,0.023358822576313942,283.2
1,0.10599999999703232,0.09649645686940489,283.2
2,0.27099999999599456,0.25402943160662,283.2
3,0.42799999997805493,0.4138608227236964,283.2
4,0.5579999999727245,0.5552821695328732,283.2
5,0.6499999999554803,0.6613412316839054,283.2
6,0.8149999999570278,0.8655044022828351,283.2
7,0.01800000000000008,0.022566197675445182,298.1
8,0.07600000000295973,0.09709632530448477,298.2
9,0.1899999999990232,0.2515420564454973,298.2
10,0.2969999999944515,0.408227994506961,298.2
11,0.38999999998515156,0.5545635632598205,298.1
12,0.47499999996901227,0.7008978337225764,298.1
13,0.5519999999752574,0.8476336087768945,298.2
14,0.6279999999635221,1.000879267612462,298.1
15,0.005999999999999954,0.012610198449193654,322.8
16,0.047000000004010625,0.10123346760989997,323.1
17,0.11299999999778162,0.2511789231992168,323.1
18,0.1739999999999126,0.3991131405648721,323.1
19,0.2309999999940593,0.5468856715662728,323.1
20,0.28499999999531933,0.6968618635396989,323.1
21,0.33499999999170504,0.8478114537289574,323.2
22,0.3819999999868152,0.998700917337868,323.2
23,0.0030000000003984604,0.01030909744089559,348.2
24,0.029000000002437,0.10117973500876723,348.2
25,0.07000000000311474,0.25037034491465515,348.2
26,0.1089999999973743,0.39968587986543486,348.2
27,0.14600000000004854,0.5477649392699104,348.1
28,0.18199999999948016,0.7004150263918482,348.1
29,0.21399999999656005,0.8450414095789461,348.2
30,0.24799999999019381,1.0056672499432697,348.2
