,R32_x,"P, MPa","T, K"
0,,,283.2
1,0.10599999999711593,0.09581387125614464,283.2
2,0.27099999999594115,0.2517626525615478,283.2
3,0.42799999998740934,0.4093568960955446,283.2
4,0.5579999999783655,0.5717900898181394,283.2
5,0.6499999999550521,0.6668860443917072,283.2
6,0.8149999999570327,0.8540014094730597,283.2
7,,,298.1
8,0.07600000000293362,0.09622286998130243,298.2
9,0.18999999999894884,0.24954539020857341,298.2
10,0.29699999999438115,0.4055326025362443,298.2
11,0.3899999999850246,0.5517246075578375,298.1
12,0.4749999999839234,0.698546695857392,298.1
13,0.5519999999752373,0.8526169059142389,298.2
14,0.6279999999636459,1.0019874935644884,298.1
15,,,322.8
16,0.047000000003975896,0.10086018707820571,323.1
17,0.11299999999793073,0.25042018638933217,323.1
18,0.1739999999998484,0.39819586579284627,323.1
19,0.23099999999374576,0.5460572634051327,323.1
20,0.2849999999951976,0.6964024940573832,323.1
21,0.3349999999915184,0.8480329829404776,323.2
22,0.3819999999865484,0.9999267378650495,323.2
23,,,348.2
24,0.029000000002387734,0.10139958408358926,348.2
25,0.07000000000303874,0.2507958878818723,348.2
26,0.10899999999767193,0.40017512567180713,348.2
27,0.14600000000011767,0.5481759928449781,348.1
28,0.18199999999926925,0.7005991928482932,348.1
29,0.2139999999960605,0.8448629437969034,348.2
30,0.24799999998920472,1.0049263103322272,348.2
