temperature,pressure,x_R32,x_R125,x_IL,y_R32,y_R125,y_IL
298.15,250000,0.139435791,0.016213227,0.844350981,0.74999,0.25,0.00001
298.15,250000,0.097365706,0.032443168,0.870191125,0.49999,0.5,0.00001
298.15,250000,0.05032534,0.051057995,0.898616665,0.24999,0.75,0.00001
283.1,10000,0.009,0.00001,0.991,,,
283.1,99800,0.099,0.00001,0.901,,,
283.2,249900,0.241,0.00001,0.759,,,
283.2,399500,0.374,0.00001,0.626,,,
283,549900,0.501,0.00001,0.499,,,
283.1,699900,0.627,0.00001,0.373,,,
283.1,849700,0.759,0.00001,0.241,,,
298.2,9700,0.007,0.00001,0.993,,,
298.2,99700,0.071,0.00001,0.929,,,
298.2,249600,0.175,0.00001,0.825,,,
298.2,399900,0.272,0.00001,0.728,,,
298.2,549800,0.359,0.00001,0.641,,,
298.2,699600,0.438,0.00001,0.562,,,
298.2,849500,0.515,0.00001,0.485,,,
298.2,999900,0.588,0.00001,0.412,,,
323.2,9800,0.004,0.00001,0.996,,,
323.1,99600,0.04,0.00001,0.96,,,
323.2,249700,0.099,0.00001,0.901,,,
323.2,399600,0.154,0.00001,0.846,,,
323.1,549600,0.206,0.00001,0.794,,,
323.1,699500,0.255,0.00001,0.745,,,
323,849900,0.301,0.00001,0.699,,,
323.2,999600,0.345,0.00001,0.655,,,
348.2,9700,0.002,0.00001,0.998,,,
348.1,99600,0.024,0.00001,0.976,,,
348.1,249500,0.058,0.00001,0.942,,,
348.2,399500,0.092,0.00001,0.908,,,
348.1,549500,0.125,0.00001,0.875,,,
348.2,699600,0.156,0.00001,0.844,,,
348.1,849600,0.186,0.00001,0.814,,,
348.1,999900,0.214,0.00001,0.786,,,
298.15,50000,0.00001,0.008,0.992,,,
298.15,100000,0.00001,0.019,0.981,,,
298.15,200000,0.00001,0.043,0.957,,,
298.15,400000,0.00001,0.101,0.899,,,
298.15,600000,0.00001,0.172,0.828,,,
298.15,799500,0.00001,0.263,0.737,,,
298.15,1000000,0.00001,0.378,0.622,,,
