temperature,x_R32,x_emimTf2N,pressure
283.15,0.025,0.975,17255.5225
283.15,0.05,0.95,34486.42
283.15,0.075,0.925,52417.4325
283.15,0.1,0.9,71048.56
283.15,0.125,0.875,90379.8025
283.15,0.136,0.864,100100
283.15,0.15,0.85,110411.16
283.15,0.175,0.825,131142.6325
283.15,0.2,0.8,152574.22
283.15,0.225,0.775,174705.9225
283.15,0.25,0.75,197537.74
283.15,0.275,0.725,221069.6725
283.15,0.3,0.7,245301.72
283.15,0.306,0.694,250300
283.15,0.325,0.675,270233.8825
283.15,0.35,0.65,295866.16
283.15,0.375,0.625,322198.5525
283.15,0.4,0.6,349231.06
283.15,0.425,0.575,376963.6825
283.15,0.448,0.552,399300
283.15,0.45,0.55,405396.42
283.15,0.475,0.525,434529.2725
283.15,0.5,0.5,464362.24
283.15,0.525,0.475,494895.3225
283.15,0.55,0.45,526128.52
283.15,0.57,0.43,549300
283.15,0.575,0.425,558061.8325
283.15,0.6,0.4,590695.26
283.15,0.625,0.375,624028.8025
283.15,0.65,0.35,658062.46
283.15,0.672,0.328,700400
283.15,0.675,0.325,692796.2325
283.15,0.7,0.3,728230.12
283.15,0.725,0.275,764364.1225
283.15,0.75,0.25,801198.24
283.15,0.786,0.214,849400
298.15,0.025,0.975,26390.55
298.15,0.05,0.95,50442.1
298.15,0.075,0.925,75743.65
298.15,0.095,0.905,99800
298.15,0.1,0.9,102295.2
298.15,0.125,0.875,130096.75
298.15,0.15,0.85,159148.3
298.15,0.175,0.825,189449.85
298.15,0.2,0.8,221001.4
298.15,0.218,0.782,250200
298.15,0.225,0.775,253802.95
298.15,0.25,0.75,287854.5
298.15,0.275,0.725,323156.05
298.15,0.3,0.7,359707.6
298.15,0.325,0.675,399400
298.15,0.35,0.65,436560.7
298.15,0.375,0.625,476862.25
298.15,0.4,0.6,518413.8
298.15,0.417,0.583,549400
298.15,0.425,0.575,561215.35
298.15,0.45,0.55,605266.9
298.15,0.475,0.525,650568.45
298.15,0.499,0.501,699500
298.15,0.5,0.5,697120
298.15,0.525,0.475,744921.55
298.15,0.55,0.45,793973.1
298.15,0.57,0.43,849500
298.15,0.575,0.425,844274.65
298.15,0.6,0.4,895826.2
298.15,0.625,0.375,948627.75
298.15,0.643,0.357,999700
323.15,0.025,0.975,45781.125
323.15,0.05,0.95,88574.5
323.15,0.055,0.945,100300
323.15,0.075,0.925,133800.125
323.15,0.1,0.9,181458
323.15,0.125,0.875,231548.125
323.15,0.133,0.867,249700
323.15,0.15,0.85,284070.5
323.15,0.175,0.825,339025.125
323.15,0.2,0.8,396412
323.15,0.225,0.775,400100
323.15,0.25,0.75,518482.5
323.15,0.264,0.736,549500
323.15,0.275,0.725,583166.125
323.15,0.3,0.7,650282
323.15,0.32,0.68,700300
323.15,0.325,0.675,719830.125
323.15,0.35,0.65,791810.5
323.15,0.368,0.632,850400
323.15,0.375,0.625,866223.125
323.15,0.4,0.6,943068
323.15,0.417,0.583,1000400
348.05,0.025,0.975,74320.8125
348.05,0.034,0.966,99800
348.05,0.05,0.95,144648.25
348.05,0.075,0.925,218602.3125
348.05,0.084,0.916,249700
348.05,0.1,0.9,296183
348.05,0.125,0.875,377390.3125
348.05,0.131,0.869,399500
348.05,0.15,0.85,462224.25
348.05,0.175,0.825,550300
348.05,0.2,0.8,642772
348.05,0.216,0.784,699200
348.05,0.225,0.775,738485.8125
348.05,0.25,0.75,837826.25
348.05,0.254,0.746,850400
348.05,0.275,0.725,940793.3125
348.05,0.288,0.712,1000500
