,0
0,2.7862615144165006
1,2.8519444489628207
2,2.8066177913573123
3,2.866430657067917
4,2.805604959413267
5,2.8384376640304887
6,2.8352597447074133
7,2.857004596699467
8,2.8409370655508024
9,2.828631272629344
