,P1,x1
0,0.9957987711271522,0.6539999999999999
1,0.9189695226770501,0.610142857142857
2,0.8426228792125882,0.5662857142857142
3,0.7673994107352455,0.5224285714285715
4,0.6936736773672736,0.4785714285714286
5,0.6216484457698435,0.43471428571428566
6,0.5514163997232373,0.3908571428571429
7,0.4830003972956549,0.347
8,0.4163797174622645,0.3031428571428571
9,0.3515071776313334,0.25928571428571434
10,0.2883202921148543,0.21542857142475244
11,0.2267485269340014,0.17157142857142205
12,0.16671798624319512,0.12771428571337784
13,0.10815440106675221,0.08385714285714292
14,0.0,0.0
