,P1,x1,P2,x2,P3,x3,P4,x4
0,0.807562973148058,0.6809999999999999,1.021641843997179,0.521,1.039421948715458,0.28500000000000003,0.9918816021202831,0.17100000000000012
1,0.6888,0.6329285714285714,0.9530813974305393,0.48421428571428576,0.9608801640036485,0.2649285714285714,0.9175050493217186,0.15907142857142872
2,0.7202235510483294,0.5848571428571427,0.8825379705713282,0.44742857142857145,0.8831357498472938,0.24485714285714283,0.843988021060695,0.14714285714285716
3,0.6694336317491373,0.5367857142857142,0.8105727241091117,0.41064285714285703,0.8061994479945656,0.22478571428571434,0.7713077366471385,0.1352142857142858
4,0.6152553978569856,0.48871428571428577,0.7376459530076628,0.3738571428571428,0.730078254342221,0.20471428571428577,0.6994426152110287,0.12328571428571435
5,0.5585059051451389,0.44064285714285717,0.6641333226264243,0.3370714285714286,0.6547759826393496,0.18464285714285705,0.6283721674364179,0.11135714285714297
6,0.4998575160724739,0.3925714285714285,0.5903401571258724,0.3002857142857143,0.5802937466810223,0.1645714285714287,0.5580769007461777,0.09942857142857138
7,0.439857882751961,0.3445,0.5165136665154428,0.26350000000000007,0.5066303733231066,0.1445000000000001,0.4885382359186601,0.08749999999999994
8,0.37894990883197033,0.2964285714285713,0.44285322769262164,0.22671428571428565,0.4337827566580354,0.12442857142857139,0.419738433458185,0.07557142857142869
9,0.31748990225286294,0.24835714285714267,0.3695189335354402,0.18992857142857147,0.36174616203021037,0.10435714285714276,0.35166052830457234,0.06364285714285708
10,0.25576328645926505,0.2002857142857142,0.296638652343712,0.15314285714285716,0.29051448715449746,0.0842857142857143,0.28428827165556336,0.0517142857142856
11,0.19399781256886625,0.1522142857142857,0.22431383243521902,0.11635714285380919,0.2200804862765317,0.06421428571428575,0.21760607871536689,0.03978571428571426
12,0.1323744754093441,0.10414285714285702,0.15262426257124884,0.07957142857139156,0.15043596142467588,0.04414285714285715,0.15159898062908547,0.027857142857142733
13,0.07103642216440813,0.05607142857142848,0.08163196045445982,0.0427857142852252,0.08157191600791486,0.024071428571428403,0.0862525735071084,0.015928571428571365
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
