,R32_x,"P, MPa"
0,0.014000000000626662,0.008788692141939771
1,0.13599999999946327,0.09020974524458814
2,0.3059999999942727,0.22257709674688717
3,0.4479999999776322,0.35850463274492694
4,0.5699999999469917,0.5037357960171469
5,0.6719999999634544,0.6541572181923695
6,0.7859999999655397,0.8607497682929032
7,0.010000000000351757,0.009754137811046814
8,0.09500000000235352,0.09618537483003878
9,0.21799999999643022,0.23459738422231496
10,0.32499999999277135,0.3719197945341631
11,0.41699999998241205,0.5070042146068062
12,0.4989999999662236,0.6449553621938894
13,0.5699999999457784,0.7815735710367654
14,0.6429999999661172,0.9428019707141099
15,0.005000000000271446,0.0090984212933246
16,0.05500000000372647,0.10232064501531617
17,0.13299999999941856,0.25672447940359383
18,0.19999999999817775,0.39959609138742397
19,0.2639999999863383,0.5466495680929268
20,0.3199999999929172,0.6853774685455892
21,0.3679999999883871,0.8130609998626623
22,0.4169999999818176,0.9531419481680959
23,0.0020000000000739084,0.006062005786855556
24,0.033999999998568044,0.10460493374635255
25,0.08399999999432763,0.2647202117265373
26,0.13099999999937761,0.42279651235268517
27,0.17499999999976576,0.5782499580748321
28,0.21599999999580322,0.730389354165462
29,0.25399999998860523,0.87840961091933
30,0.2879999999776714,1.0172092539633675
