,R32_x,"P, MPa"
0,0.014000000000000033,0.010525335443851752
1,0.136,0.1067165351718568
2,0.30600000000000005,0.2576168219118874
3,0.4479999999999999,0.4050410446019954
4,0.57,0.554113501348104
5,0.672,0.6998565811147677
6,0.786,0.8872235108455421
7,0.01000000000000004,0.011031743163026774
8,0.09499999999999986,0.10809590910421893
9,0.21799999999999983,0.260788109220317
10,0.32499999999999984,0.4086669419694403
11,0.4169999999999999,0.5504488549231992
12,0.49899999999999994,0.6914146564310693
13,0.57,0.8272671984642413
14,0.6430000000000001,0.9829848406541802
15,0.005000000000000126,0.00951558133578529
16,0.05499999999999993,0.10676159089828828
17,0.13299999999999998,0.26678439857697916
18,0.19999999999999998,0.41362311368112287
19,0.264,0.5634546792496903
20,0.31999999999999995,0.7035418855478905
21,0.3679999999999999,0.8313656498936153
22,0.4169999999999999,0.9703566921324523
23,0.0020000000000001024,0.005965237556209562
24,0.03399999999999994,0.10282824923726146
25,0.08400000000000006,0.2597705806406965
26,0.131,0.41415607397872684
27,0.17500000000000002,0.5654185954625107
28,0.21599999999999991,0.7128998488337358
29,0.25399999999999995,0.8558449585971522
30,0.288,0.9893876286345953
