,R32_x,"P, MPa"
0,0.013999999999999976,0.010438823367004206
1,0.13599999999999995,0.10556493982710273
2,0.30600000000000005,0.25377395756617604
3,0.4479999999999999,0.39738443850045374
4,0.57,0.5416059792210022
5,0.6719999999999999,0.6820973897027843
6,0.7860000000000001,0.8636179985385404
7,0.01000000000000011,0.010758642520410285
8,0.0949999999999999,0.1058468443646177
9,0.21799999999999997,0.25714656178543627
10,0.3249999999999999,0.40593191889820135
11,0.4170000000000001,0.5508834494330146
12,0.49899999999999994,0.6973701247036134
13,0.5700000000000001,0.8408249898049958
14,0.643,1.007939555206437
15,0.004999999999999882,0.009064234832211445
16,0.054999999999999924,0.10238116977126445
17,0.13300000000000003,0.2588281800632845
18,0.2,0.4058267134073257
19,0.264,0.5595180383032193
20,0.32,0.7068425231053885
21,0.36800000000000005,0.844518207059271
22,0.41700000000000004,0.9979209061362173
23,0.001999999999999997,0.005578394129610836
24,0.034000000000000065,0.09676424527762381
25,0.08399999999999996,0.24704620629555357
26,0.131,0.39813805891443127
27,0.17500000000000004,0.5495242159396536
28,0.21599999999999997,0.7005236529196662
29,0.25399999999999995,0.8502699529930354
30,0.2879999999999999,0.9933461919879117
