,283,298,303,328
0,0.8979562478071712,0.9703224332590834,0.9838465333558098,1.0012707908852692
1,0.8105648783989716,0.884439298106545,0.9044392854282463,0.9316728480617336
2,0.7278406677775502,0.8025792748420152,0.8269592664090447,0.863079579006427
3,0.6503653865971445,0.7243524470612649,0.7512911175927268,0.7954562681336715
4,0.5778097786883347,0.6493897938759265,0.6773289565552911,0.7287699921219585
5,0.5096006733542066,0.5773572809378026,0.6049755589758975,0.6629895030098693
6,0.44515377666271333,0.5079591029319536,0.5341415813193232,0.5980851208140838
7,0.38394732691317857,0.4409361131650169,0.4647448389144542,0.5340286326051893
8,0.32553772311157464,0.3760623381032619,0.3967096420544135,0.4707932009160331
9,0.2695550183804136,0.3131409621855974,0.3299661909225234,0.4083532778148716
10,0.21569257577869758,0.2520004056121459,0.26445002628253717,0.34668452549430223
11,0.16369615758495729,0.19249075849276595,0.2001015336563728,0.28576374255036613
12,0.11335420580395138,0.1344806519668638,0.13686549415878818,0.2255687950873033
13,0.064489720900852,0.07785455814251621,0.07469066990529366,0.16607855330642374
14,0.0,0.0,0.0,0.0
