,0
0,10578.487733772714
1,106967.72992925617
2,257035.13291776893
3,402181.8881355688
4,547491.120371778
5,688358.8039763443
6,868726.2975220233
7,10908.808412944814
8,107154.76945628528
9,259595.7830470788
10,408562.6490844581
11,552711.6275050839
12,697356.9741630779
13,837990.0241894674
14,1000567.0599366089
15,9201.770764931427
16,103729.05001750063
17,261322.65667162248
18,408350.7573265069
19,560953.6058747276
20,706143.0664036683
21,840853.2452357643
22,989852.6356883799
23,5669.982122455887
24,98189.32300597803
25,249956.78854200745
26,401634.545302674
27,552683.4203471597
28,702418.5415475187
29,849994.2638252495
30,990145.731517
