,R125_x,"P, MPa","T, K"
0,0.02499999999999988,0.019267408736660985,283.1
1,0.050000000000000086,0.03849309423830595,283.1
2,0.07499999999999998,0.05766960444823308,283.1
3,0.08500000000000009,0.06532498725724217,283.1
4,0.10000000000000006,0.07679040450771175,283.1
5,0.12499999999999993,0.09584867403881923,283.1
6,0.14999999999999994,0.1148374293729387,283.1
7,0.16800000000000004,0.12846231070392436,283.1
8,0.175,0.1337495775594668,283.1
9,0.19999999999999987,0.15257797244490934,283.1
10,0.2250000000000001,0.17131548291016316,283.1
11,,,283.1
12,,,283.1
13,,,283.1
14,,,283.1
15,,,283.1
16,,,283.1
17,,,283.1
18,,,283.1
19,,,283.1
20,,,283.1
21,,,283.1
22,,,283.1
23,,,283.1
24,0.4999999999999999,0.3698071713706141,283.1
25,0.525,0.38711731357620044,283.1
26,,,283.1
27,,,283.1
28,,,283.1
29,,,283.1
30,,,283.1
31,,,283.1
32,,,283.1
33,0.025000000000000088,0.03018948337609283,298.1
34,0.05000000000000005,0.06036547407102448,298.1
35,0.05500000000000003,0.06639796629030814,298.1
36,0.07499999999999975,0.090515762421826,298.1
37,0.10000000000000006,0.12062817100106094,298.1
38,0.10899999999759837,0.1314569051460421,298.1
39,0.12499999999905682,0.1506898229148466,298.1
40,0.1500000000001555,0.18068720874278113,298.1
41,0.16100000000016038,0.19386208423530538,298.1
42,0.1749999999997234,0.21060621911158692,298.1
43,,,298.1
44,,,298.1
45,,,298.1
46,,,298.1
47,,,298.1
48,,,298.1
49,,,298.1
50,0.31699999999997625,0.37832272886065144,298.1
51,0.32499999999997015,0.3876236850385433,298.1
52,,,298.1
53,,,298.1
54,,,298.1
55,0.4219999999992846,0.49872957080744584,298.1
56,,,298.1
57,,,298.1
58,,,298.1
59,,,298.1
60,,,298.1
61,0.02499999999999996,0.056879199836306085,323.1
62,0.0500000000000001,0.1139536467876514,323.1
63,0.059000000000000045,0.13454417644855715,323.1
64,0.07500000000000005,0.1712019827102589,323.1
65,0.08800000000000002,0.20103224476490067,323.1
66,0.09999999999999996,0.2286010632569412,323.1
67,0.11700000000000005,0.2677056670977728,323.1
68,0.12500000000000003,0.2861254658277464,323.1
69,0.15000000000000005,0.3437473769765234,323.1
70,0.15199999999999997,0.3483604515524094,323.1
71,0.17500000000000004,0.40143646116013,323.1
72,0.17599999999999996,0.4037449644382725,323.1
73,0.19999999999999984,0.4591597345140157,323.1
74,,,323.1
75,,,323.1
76,,,323.1
77,,,323.1
78,,,323.1
79,0.024999999999999956,0.09548137355833965,348.1
80,0.033999999999999996,0.13004409307648293,348.1
81,0.05000000000000001,0.19173250949646284,348.1
82,0.07400000000000005,0.2848390911019205,348.1
83,0.075,0.2887332246045786,348.1
84,0.09699999999999989,0.3746949558803915,348.1
85,0.09999999999999994,0.38645952504086006,348.1
86,0.10499999999999991,0.40608943482274473,348.1
87,0.125,0.484882950082114,348.1
88,0.14,0.5442579426317014,348.1
89,0.15000000000000002,0.5839700736200045,348.1
90,0.17099999999999999,0.6676878420909668,348.1
