,R125_x,"P, MPa","T, K"
0,0.025000000000000064,0.02892051268307225,283.1
1,0.05000000000000008,0.0580578886677042,283.1
2,0.07499999999999989,0.08740712205597675,283.1
3,0.08499999999999985,0.09920496113757968,283.1
4,0.1,0.11696275739024867,283.1
5,0.12500000000000008,0.14671789156311602,283.1
6,0.15,0.1766640254507252,283.1
7,0.1680000000000761,0.19833779120750522,283.1
8,0.17499999999999996,0.20679083287799863,283.1
9,0.19999999999999993,0.23708588742816217,283.1
10,0.22500000000000003,0.26753434671540405,283.1
11,0.25000000000000006,0.2981185889804535,283.1
12,0.27499999999999997,0.32881779531684857,283.1
13,0.3000000000000001,0.3596074697641027,283.1
14,0.3249999999999999,0.3904588885257618,283.1
15,0.33100000000000007,0.39786879744640236,283.1
16,0.34999999999999987,0.4213384686384908,283.1
17,0.37499999999999994,0.452207045584493,283.1
18,0.4,0.48301904871582463,283.1
19,0.4130000000000001,0.4990016877779318,283.1
20,0.4249999999999999,0.5137215631254922,283.1
21,0.44999999999999984,0.5442532670323637,283.1
22,0.475,0.5745432352580583,283.1
23,0.49599999999999994,0.5997404566854898,283.1
24,0.5,0.6045096025659832,283.1
25,0.525,0.6340580863888058,283.1
26,0.5499999999999999,0.6630803780577827,283.1
27,0.575,0.6914524268834202,283.1
28,0.5830000000000001,0.7003715483643512,283.1
29,0.6,0.7190326649224944,283.1
30,0.6250000000000001,0.7456602557015397,283.1
31,0.65,0.7711535028745404,283.1
32,0.6809999999999999,0.800882075352226,283.1
33,0.025000000000000005,0.044628639523632954,298.1
34,0.04999999999999993,0.08969255335124673,298.1
35,0.054999999999999986,0.09875726974731143,298.1
36,0.07499999999999983,0.1351881692587624,298.1
37,0.10000000000000009,0.1811104964177888,298.1
38,0.10899999999999993,0.19774567573417703,298.1
39,0.12499999999894519,0.22745230159481014,298.1
40,0.150000000000125,0.27420376616282066,298.1
41,0.16100000000018197,0.294901003275021,298.1
42,0.17499999999982765,0.32135204910919934,298.1
43,0.19999999999794563,0.3688807722435114,298.1
44,0.21299999999630811,0.39373943106697185,298.1
45,0.22499999999437797,0.416769418594126,298.1
46,0.24999999999999992,0.46499262977473477,298.1
47,0.267,0.49795994678264943,298.1
48,0.27499999999999997,0.5135193851958723,298.1
49,0.29999999999999993,0.5623120440858331,298.1
50,0.31699999999999995,0.5956201340412085,298.1
51,0.32499999999999984,0.6113252269211097,298.1
52,0.35,0.6605045109023243,298.1
53,0.375,0.7097849102838807,298.1
54,0.3999999999999999,0.7590891096179365,298.1
55,0.4220000000000001,0.8024240627749117,298.1
56,0.4250000000000001,0.8083254157487594,298.1
57,0.45,0.8573853937250154,298.1
58,0.475,0.9061411539237416,298.1
59,0.5,0.9544422645573108,298.1
60,0.521,0.9945356044980197,298.1
61,0.025000000000000043,0.08214453400269026,323.1
62,0.05000000000000006,0.16551591367948687,323.1
63,0.05900000000000012,0.1958345720351904,323.1
64,0.07499999999999991,0.2501381040005259,323.1
65,0.08800000000000008,0.29464371072016726,323.1
66,0.10000000000000005,0.3360342872000637,323.1
67,0.11699999999999983,0.39518257429625175,323.1
68,0.12500000000000003,0.42322623046770225,323.1
69,0.14999999999999997,0.511733832453109,323.1
70,0.15199999999999997,0.5188718195631621,323.1
71,0.17499999999999996,0.6015745512434939,323.1
72,0.17599999999999993,0.6051961236423467,323.1
73,0.19999999999999996,0.6927627047414111,323.1
74,0.22499999999999995,0.7853086170630267,323.1
75,0.2279999999999999,0.7965056794513972,323.1
76,0.24999999999999992,0.8792175767305112,323.1
77,0.27500000000000013,0.974488563844977,323.1
78,0.285,1.012976641458924,323.1
79,0.02500000000000002,0.1349955208598258,348.1
80,0.03400000000000006,0.18428429961715018,348.1
81,0.05000000000000003,0.272838017966521,348.1
82,0.07399999999999998,0.40796565540172897,348.1
83,0.07499999999999986,0.41365731214622786,348.1
84,0.09699999999999986,0.5401524555940839,348.1
85,0.10000000000000012,0.5575945117632259,348.1
86,0.10499999999999987,0.586769407223894,348.1
87,0.12500000000000003,0.7048037026879692,348.1
88,0.14000000000000007,0.7947695183348283,348.1
89,0.1500000000000001,0.8554542731864974,348.1
90,0.17099999999999996,0.9847969324302367,348.1
