,R125_x,"P, MPa","T, K"
0,0.025000000000000036,0.02974975214907451,283.1
1,0.04999999999999997,0.059667045028386656,283.1
2,0.07499999999999984,0.08974393174018273,283.1
3,0.08499999999999984,0.10181745709009492,283.1
4,0.09999999999999999,0.11997163184711251,283.1
5,0.12500000000000014,0.15033980208783881,283.1
6,0.14999999999999997,0.18083637695217356,283.1
7,0.16800000000006582,0.2028656371624065,283.1
8,0.17500000000000002,0.21144734607188367,283.1
9,0.1999999999999999,0.24215649816485377,283.1
10,0.22499999999999995,0.2729451292174162,283.1
11,0.25,0.3037917117061786,283.1
12,0.2749999999999999,0.33467152007440604,283.1
13,0.30000000000000004,0.3655562072011703,283.1
14,0.32499999999999996,0.39641332618177433,283.1
15,0.33099999999999974,0.40381091816506964,283.1
16,0.35,0.42720579145149884,283.1
17,0.375,0.45789127319819045,283.1
18,0.4000000000000001,0.488421519241402,283.1
19,0.41300000000000003,0.5042179518644253,283.1
20,0.42499999999999993,0.5187415992799493,283.1
21,0.44999999999999984,0.5487890678826206,283.1
22,0.47499999999999987,0.5784930451822399,283.1
23,0.496,0.6031204803088919,283.1
24,0.5,0.6077732184482004,283.1
25,0.5249999999999999,0.6365387742946381,283.1
26,0.5499999999999999,0.6646872812696135,283.1
27,0.575,0.6921035574459662,283.1
28,0.583,0.7007014486309437,283.1
29,0.6000000000000001,0.7186585795074754,283.1
30,0.6249999999999999,0.7442085217502854,283.1
31,0.65,0.7685940598925874,283.1
32,0.681,0.7969510578433441,283.1
33,0.025000000000000057,0.04555948543152221,298.1
34,0.049999999999999975,0.09148125628948024,298.1
35,0.05500000000000003,0.10070837237999057,298.1
36,0.07499999999999989,0.13775693721846916,298.1
37,0.09999999999999995,0.18437633194630515,298.1
38,0.1089999999999999,0.2012410965550958,298.1
39,0.12499999999896719,0.23132676051676898,298.1
40,0.15000000000013092,0.2785927118662793,298.1
41,0.1610000000001785,0.29948498174977684,298.1
42,0.17499999999980698,0.3261554192064118,298.1
43,0.19999999999788784,0.3739923678624282,298.1
44,0.212999999996224,0.3989672442880589,298.1
45,0.2249999999942655,0.42207672811334945,298.1
46,0.24999999999999997,0.4703767019781355,298.1
47,0.26700000000000007,0.5033249567986303,298.1
48,0.2749999999999999,0.5188547710500575,298.1
49,0.30000000000000004,0.5674668313875794,298.1
50,0.3169999999999999,0.6005735379394286,298.1
51,0.325,0.6161611988526116,298.1
52,0.35000000000000003,0.6648774675904718,298.1
53,0.3750000000000001,0.7135452026595126,298.1
54,0.3999999999999999,0.7620824473472882,298.1
55,0.42200000000000004,0.8046120506382309,298.1
56,0.4250000000000001,0.8103940262045877,298.1
57,0.45,0.8583696272021866,298.1
58,0.475,0.9058816517684979,298.1
59,0.49999999999999994,0.952782831429449,298.1
60,0.521,0.991584442588459,298.1
61,0.02499999999999998,0.08287404241997015,323.1
62,0.04999999999999997,0.16681818454402136,323.1
63,0.05899999999999995,0.19730233971090927,323.1
64,0.07499999999999998,0.25184413395000943,323.1
65,0.088,0.29648851984513064,323.1
66,0.09999999999999999,0.3379617349739262,323.1
67,0.11699999999999988,0.39714911671336456,323.1
68,0.12500000000000003,0.4251783235536288,323.1
69,0.1499999999999999,0.5134981709725477,323.1
70,0.15200000000000008,0.5206114644103415,323.1
71,0.17499999999999993,0.6029218056972727,323.1
72,0.17599999999999996,0.6065216702496915,323.1
73,0.19999999999999998,0.6934451996379334,323.1
74,0.22499999999999992,0.7850587917026752,323.1
75,0.22799999999999995,0.7961249902763674,323.1
76,0.24999999999999992,0.8777463141901344,323.1
77,0.2749999999999999,0.9714833792422911,323.1
78,0.28500000000000003,1.0092647880028578,323.1
79,0.025000000000000126,0.13473536478054426,348.1
80,0.034,0.1838447642180065,348.1
81,0.04999999999999998,0.271960331262351,348.1
82,0.074,0.4061259572702442,348.1
83,0.07499999999999986,0.41176916289468796,348.1
84,0.09699999999999988,0.5370182159144572,348.1
85,0.10000000000000009,0.5542627005378968,348.1
86,0.1049999999999999,0.5830929569180892,348.1
87,0.125,0.6995492092186835,348.1
88,0.14000000000000004,0.7881099641440547,348.1
89,0.15000000000000013,0.8477455769193983,348.1
90,0.17099999999999996,0.9745718701427768,348.1
