,R32_x,"P, MPa","T, K"
0,0.025000000001895263,0.01908382174286244,283.15
1,0.05000000000397292,0.03845456606313057,283.15
2,0.07500000000302615,0.058126204914336996,283.15
3,0.10000000000219253,0.07811459094074105,283.15
4,0.1249999999987954,0.09843668556253432,283.15
5,0.13599999999952903,0.10748877654210476,283.15
6,0.15000000000007566,0.11911072810195723,283.15
7,0.17499999999993604,0.14015635859172304,283.15
8,0.19999999999828508,0.1615947432746344,283.15
9,0.22499999999504688,0.1834487085474217,283.15
10,0.24999999999016037,0.20574288418999645,283.15
11,0.2749999999959595,0.22850385580246638,283.15
12,0.2999999999944728,0.25176032467367015,283.15
13,0.3059999999940672,0.25741899912893235,283.15
14,0.3249999999925273,0.2755432745385906,283.15
15,0.3499999999902478,0.29988613988781476,283.15
16,0.3749999999874818,0.3248249713745242,283.15
17,0.3999999999841494,0.3503985893456593,283.15
18,0.4249999999801692,0.37664871270463857,283.15
19,0.44799999997586487,0.4014346926259347,283.15
20,0.44999999997545936,0.40362004416164216,283.15
21,0.4749999999699434,0.43136028415404465,283.15
22,0.49999999996355404,0.45992003312483476,283.15
23,0.5249999999562421,0.4893525237230305,283.15
24,0.5499999999761894,0.5197130988691094,283.15
25,0.569999999973532,0.5447077753627233,283.15
26,0.5749999999728357,0.5510583102912113,283.15
27,0.5999999999691752,0.5834444677747037,283.15
28,0.6249999999652674,0.616925372979552,283.15
29,0.6499999999612369,0.6515488725765577,283.15
30,0.671999999957763,0.6829922630986837,283.15
31,0.6749999999573074,0.6873516880115422,283.15
32,0.6999999999538528,0.7243517393945671,283.15
33,0.7249999999514586,0.762536831884176,283.15
34,0.7499999999509943,0.8018480808283326,283.15
35,0.7859999999561609,0.8601511256029845,283.15
36,0.02500000000190805,0.026937583095409317,298.15
37,0.05000000000396657,0.054429940370260756,298.15
38,0.07500000000301985,0.08250902759208249,298.15
39,0.09500000000234772,0.10541824967120293,298.15
40,0.1000000000021884,0.11120996252640515,298.15
41,0.1249999999987981,0.14057069479292011,298.15
42,0.15000000000007013,0.1706323300194519,298.15
43,0.1749999999999465,0.20143944374471645,298.15
44,0.19999999999833104,0.23304042094368,298.15
45,0.21799999999622746,0.25631401955297245,298.15
46,0.22499999999517115,0.2654878270466179,298.15
47,0.24999999999043407,0.29883881204949464,298.15
48,0.2749999999960555,0.3331555487567833,298.15
49,0.29999999999463456,0.3685057023889932,298.15
50,0.3249999999927002,0.4049629318274932,298.15
51,0.34999999999050413,0.44260741142719595,298.15
52,0.3749999999878543,0.48152636370824053,298.15
53,0.39999999998468055,0.5218145817257266,298.15
54,0.4169999999821871,0.5500448315273684,298.15
55,0.42499999998091265,0.5635749089425208,298.15
56,0.4499999999764834,0.6069186267275118,298.15
57,0.47499999997133224,0.6519656734809374,298.15
58,0.49899999996566324,0.6969325637398708,298.15
59,0.49999999996541117,0.6988445807962398,298.15
60,0.5249999999586922,0.7476919549153134,298.15
61,0.5499999999773836,0.7986512486171503,298.15
62,0.5699999999749923,0.8410386395478052,298.15
63,0.5749999999743702,0.8518704311429517,298.15
64,0.5999999999711322,0.907498009096414,298.15
65,0.6249999999677386,0.9656765165808392,298.15
66,0.6429999999652679,1.009216527778668,298.15
67,0.02500000000101325,0.044882666644884245,323.15
68,0.05000000000394397,0.09105318259613841,323.15
69,0.0550000000037338,0.10044938439655106,323.15
70,0.07500000000299266,0.1385990990050247,323.15
71,0.09999999999628952,0.1876164138611499,323.15
72,0.12499999999880135,0.2382101856095457,323.15
73,0.1329999999993674,0.25475165210689865,323.15
74,0.15000000000008257,0.2904956084883715,323.15
75,0.1749999999999309,0.3445992036902712,323.15
76,0.19999999999833332,0.40066016952947353,323.15
77,0.224999999995213,0.45883191245887917,323.15
78,0.24999999999088007,0.5192837853265058,323.15
79,0.2639999999877107,0.5542018001716935,323.15
80,0.2749999999960531,0.5822030623330423,323.15
81,0.29999999999460625,0.6477971770060831,323.15
82,0.3199999999932377,0.7023521699957475,323.15
83,0.3249999999928624,0.716296267055973,323.15
84,0.34999999999076487,0.7879560488327179,323.15
85,0.3679999999890036,0.8416666985664836,323.15
86,0.3749999999882565,0.8630610626168767,323.15
87,0.399999999985281,0.9419283144920173,323.15
88,0.4169999999829638,0.9978858089599973,323.15
89,0.02500000000133274,0.06980163840796098,348.05
90,0.034000000002402275,0.09552895583339069,348.05
91,0.050000000003860005,0.14208795419693523,348.05
92,0.07500000000294292,0.21704905398713278,348.05
93,0.08399999999421733,0.24472965376138625,348.05
94,0.09999999999648959,0.294895155468201,348.05
95,0.12499999999890948,0.37585905655876806,348.05
96,0.13099999999933787,0.39578244911227234,348.05
97,0.15000000000011737,0.46019922053334605,348.05
98,0.1749999999998756,0.5482033667439035,348.05
99,0.19999999999823853,0.6401926816870713,348.05
100,0.2159999999964612,0.7013215705582511,348.05
101,0.22499999999526335,0.7365267799744762,348.05
102,0.24999999999099726,0.8376095815385568,348.05
103,0.25399999999014167,0.8542531359073393,348.05
104,0.27499999998388075,0.9438963149371531,348.05
105,0.2879999999799309,1.0013903047730077,348.05
