,R32_x,"P, MPa","T, K"
0,0.025000000001894413,0.019045627758722997,283.15
1,0.05000000000397296,0.03838199651815116,283.15
2,0.07500000000302662,0.05802289644418179,283.15
3,0.10000000000219325,0.07798435000492765,283.15
4,0.1249999999987928,0.09828345575663065,283.15
5,0.13599999999952708,0.1073267150125036,283.15
6,0.15000000000007474,0.11893858476370141,283.15
7,0.17499999999993754,0.1399695058263991,283.15
8,0.19999999999829046,0.16139750985640686,283.15
9,0.22499999999505796,0.18324554140362145,283.15
10,0.24999999999017944,0.2055383383862412,283.15
11,0.27499999999596486,0.22830257989903854,283.15
12,0.2999999999944804,0.2515670400024495,283.15
13,0.3059999999940755,0.2572283405272161,283.15
14,0.3249999999925365,0.27536274659048166,283.15
15,0.34999999999026016,0.29972313944394663,283.15
16,0.3749999999874983,0.324684222327291,283.15
17,0.3999999999841712,0.35028469922130506,283.15
18,0.4249999999801972,0.37656608066299113,283.15
19,0.44799999997590007,0.40138442246088823,283.15
20,0.44999999997549517,0.4035727396038715,283.15
21,0.4749999999699883,0.4313518868640383,283.15
22,0.49999999996360944,0.45995342290452856,283.15
23,0.5249999999563089,0.48942960347263986,283.15
24,0.549999999976219,0.5198344296252734,283.15
25,0.5699999999735652,0.5448637051977948,283.15
26,0.5749999999728699,0.551222629272456,283.15
27,0.5999999999692139,0.5836480504037825,283.15
28,0.6249999999653093,0.6171611857589947,283.15
29,0.6499999999612796,0.6518054445422398,283.15
30,0.6719999999578027,0.6832529372768463,283.15
31,0.6749999999573464,0.6876116019506382,283.15
32,0.6999999999538807,0.7245896075817603,283.15
33,0.7249999999514642,0.7627165712629655,283.15
34,0.749999999950962,0.8019192351581051,283.15
35,0.7859999999560413,0.8599368674349757,283.15
36,0.025000000001908124,0.026913444100493362,298.15
37,0.050000000003966615,0.05438501407592389,298.15
38,0.07500000000302028,0.08244650437123147,298.15
39,0.0950000000023483,0.10534398987170919,298.15
40,0.10000000000218885,0.11113309612523115,298.15
41,0.1249999999987966,0.14048276997134612,298.15
42,0.1500000000000695,0.17053664627088738,298.15
43,0.17499999999994745,0.20133929820974378,298.15
44,0.19999999999833426,0.23293908765086332,298.15
45,0.21799999999623293,0.2562138320140105,298.15
46,0.22499999999517734,0.2653885309618589,298.15
47,0.24999999999044417,0.29874469643241336,298.15
48,0.2749999999960584,0.33306963404204903,298.15
49,0.2999999999946383,0.3684308343477391,298.15
50,0.32499999999270457,0.40490171617191345,298.15
51,0.34999999999051,0.4425621311807264,298.15
52,0.3749999999878617,0.48149887459967095,298.15
53,0.3999999999846897,0.5218061794282194,298.15
54,0.41699999998219783,0.5500497845524888,298.15
55,0.4249999999809239,0.5635861600637254,298.15
56,0.4499999999764967,0.6069491528887115,298.15
57,0.47499999997134756,0.6520138743517767,298.15
58,0.4989999999656798,0.6969947652478824,298.15
59,0.4999999999654279,0.6989072772366527,298.15
60,0.5249999999587094,0.7477639269342986,298.15
61,0.5499999999773896,0.7987246340249425,298.15
62,0.5699999999749974,0.841105222837778,298.15
63,0.5749999999743749,0.8519339385072285,298.15
64,0.5999999999711338,0.9075358819440598,298.15
65,0.6249999999677349,0.9656671622681992,298.15
66,0.6429999999652586,1.0091555872450442,298.15
67,0.02500000000101322,0.04487934464492779,323.15
68,0.05000000000394416,0.09104830321428771,323.15
69,0.055000000003733986,0.1004443775220694,323.15
70,0.07500000000299288,0.13859415744276485,323.15
71,0.0999999999962888,0.18761274040596246,323.15
72,0.12499999999880086,0.23820890978418954,323.15
73,0.13299999999936699,0.25475134550230233,323.15
74,0.15000000000008237,0.29049763106303117,323.15
75,0.17499999999993113,0.34460516774659417,323.15
76,0.19999999999833393,0.4006704294299246,323.15
77,0.224999999995214,0.4588465004975492,323.15
78,0.249999999990881,0.5193023761144748,323.15
79,0.26399999998771173,0.5542223446158902,323.15
80,0.27499999999605335,0.5822249351791849,323.15
81,0.29999999999460647,0.6478211767723325,323.15
82,0.3199999999932378,0.7023767222173627,323.15
83,0.32499999999286244,0.7163207643273798,323.15
84,0.3499999999907648,0.7879789006325895,323.15
85,0.3679999999890033,0.8416867309930495,323.15
86,0.374999999988256,0.8630795755216335,323.15
87,0.39999999998528,0.9419392127911833,323.15
88,0.4169999999829622,0.9978893499042422,323.15
89,0.02500000000133282,0.0698084270646815,348.05
90,0.034000000002402365,0.09553793175071372,348.05
91,0.050000000003860005,0.1421003786712025,348.05
92,0.0749999999926966,0.21706558567407622,348.05
93,0.08399999999421741,0.24474723245270938,348.05
94,0.09999999999648972,0.294913974586692,348.05
95,0.12499999999890961,0.37587807995204,348.05
96,0.13099999999933795,0.3958011859169735,348.05
97,0.15000000000011746,0.4602161471853074,348.05
98,0.1749999999998755,0.5482157569281977,348.05
99,0.19999999999823798,0.6401980741920563,348.05
100,0.21599999999646025,0.7013212524845518,348.05
101,0.22499999999526232,0.7365228623015558,348.05
102,0.24999999999099567,0.8375944323952257,348.05
103,0.25399999999014017,0.8542360545101569,348.05
104,0.2749999999838778,0.9438687456717914,348.05
105,0.28799999997992787,1.001356185142105,348.05
