temperature,pressure,x_R125,x_bmimBF4
298.15,50000,0.008,0.992
298.15,100000,0.019,0.981
298.15,200000,0.043,0.957
298.15,400000,0.101,0.899
298.15,600000,0.172,0.828
298.15,799500,0.263,0.737
298.15,1000000,0.378,0.622
