,0
0,1.039547828868282
1,1.0679285083427634
2,1.0489784574249634
3,0.6503046443193443
4,1.0615452594816515
5,1.0679160393803733
6,1.0392807733899387
7,1.0783845972360813
8,1.0134631937326448
9,0.6384307950621234
10,1.067601891698682
11,1.0683965223097933
12,1.0661630443772843
13,1.068640719081103
14,1.0677928671871673
15,1.0655670405923854
16,1.0513533903913468
17,1.0421164016583897
18,1.064319676101059
19,1.0719006601378396
20,1.0672623048003183
21,1.0711067686462354
22,1.070737430000585
23,1.034326671872603
24,1.0275591923956353
25,1.0690087504825028
26,1.060352277828672
27,1.044047794117744
28,1.0781248497558575
29,1.0656380853985847
30,1.0723832913920888
31,1.0742905225408705
32,1.03757933988421
33,1.0711571688638328
34,1.0607085756182943
35,1.060875688220473
36,1.065054339773671
37,1.0564652546233706
38,1.0678401810745877
39,1.0625110324582565
40,1.0513716839956047
41,1.0655740325716652
42,1.0410998371487181
43,1.0703866957069708
44,1.0699867389177682
45,1.0662706317087145
46,1.0680225135716044
47,1.071244256925348
48,1.0741867416974962
49,1.0663707377189904
50,1.0454087089809139
51,1.0549371899907012
52,1.0693634124971971
53,1.0709461271126666
54,1.0664582775354752
55,1.0415580161602254
56,1.0677868051091366
57,1.0629666641842392
58,0.6856041414470128
59,1.040531622258777
60,1.0675609414715697
61,1.0591069070685004
62,1.0695262253726026
63,1.0522581292046014
64,1.0642382947592137
65,1.05443467046093
66,1.0343059662997383
67,1.0581174549307282
68,1.0751597196418226
69,1.0423845522647583
70,1.0692213559333306
71,1.0697642332695056
72,1.0692997280017036
73,1.0700523416936671
74,1.067630660742656
75,1.0761586005602424
76,1.067168498811526
77,1.0650499582299142
78,1.0678476930322074
79,1.0627000861683025
80,1.052201939547738
81,1.0659471587853397
82,1.0658153868282028
83,1.0629405618930092
84,1.0662709392187018
85,1.0264473002655652
86,1.0477769990686185
87,1.0247750943461713
88,1.0204133826987298
89,1.0402691254192906
90,1.009128159344574
91,1.067839299417412
92,1.007953340865968
93,1.0576479077485068
94,1.0681212730819045
95,1.0768672574881404
96,1.078695163310511
97,1.067873460696884
98,1.0599762721656467
99,1.067455829290868
