,P1,x1
0,0.9973627004190734,0.5780000000000001
1,0.9138690768498355,0.5394285714285715
2,0.832864790981422,0.5008571428571429
3,0.754546083265198,0.4622857142857142
4,0.6789619347928065,0.4237142857142856
5,0.6060726010361184,0.38514285714285706
6,0.5357867496259591,0.34657142857142853
7,0.4679849603853152,0.30800000000000005
8,0.40253451370220733,0.2694285714285713
9,0.33929859765197123,0.23085714285714296
10,0.27814193100611007,0.192285714284638
11,0.21893408286431995,0.15371428571443999
12,0.16155131414595847,0.11514285714285703
13,0.10587747368664134,0.07657142857142853
14,0.0,0.0
